IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
117,133,112,112,0.336397,0.342641,0.33661,0.33661,0.0100001,268640,311841,242922,254210,0,0,0,0,1,1,1,1,15,42,2,2
117,133,116,116,0.336397,0.342641,0.339552,0.339552,0.100001,268640,311841,379731,398749,0,0,0,0,1,1,1,1,15,42,15,15
117,133,132,132,0.336397,0.342641,0.339222,0.339222,0.5,268640,311841,177589,331093,0,0,0,0,1,1,1,1,15,42,42,42
117,133,133,73,0.336397,0.342641,0.342641,0.340782,1,268640,311841,442770,207750,0,0,0,0,1,1,1,1,15,42,42,1
165,228,208,208,0.13817,0.147328,0.145389,0.145389,0.0100001,319133,433044,471285,560165,0,0,0,0,1,1,1,1,3,42,2,2
165,228,215,215,0.13817,0.147328,0.139428,0.139428,0.100001,319133,433044,656709,710614,0,0,0,0,1,1,1,1,3,42,18,18
165,228,228,228,0.13817,0.147328,0.147237,0.147237,0.5,319133,433044,644883,719052,0,0,0,0,1,1,1,1,3,42,42,42
165,228,228,164,0.13817,0.147328,0.147328,0.138086,1,319133,433044,501898,324321,0,0,0,0,1,1,1,1,3,42,42,13
68,127,105,105,0.124744,0.134212,0.135069,0.135069,0.0100001,132604,290088,273969,236836,0,0,0,0,1,1,1,1,10,43,2,2
68,127,111,111,0.124744,0.134212,0.141064,0.141064,0.100001,132604,290088,326061,288033,0,0,0,0,1,1,1,1,10,43,19,19
68,127,127,127,0.124744,0.134212,0.133713,0.133713,0.5,132604,290088,358219,353721,0,0,0,0,1,1,1,1,10,43,43,43
68,127,127,47,0.124744,0.134212,0.134212,0.139252,1,132604,290088,359848,100726,0,0,0,0,1,1,1,1,10,43,43,5
5,122,101,101,0.179815,0.137528,0.137764,0.137764,0.0100001,2738,299950,224548,219614,0,0,0,0,0,1,1,1,3,45,3,3
5,122,109,109,0.179815,0.137528,0.132974,0.132974,0.100001,2738,299950,279542,270065,0,0,0,0,0,1,1,1,3,45,21,21
5,122,124,124,0.179815,0.137528,0.130821,0.130821,0.5,2738,299950,359555,352174,0,0,0,0,0,1,1,1,3,45,44,44
5,122,122,42,0.179815,0.137528,0.137528,0.143627,1,2738,299950,352763,106284,0,0,0,0,0,1,1,1,3,45,45,6
