IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
76,126,76,76,0.562489,0.551041,0.561383,0.561383,0.0100001,447784,657753,282646,490615,0,0,0,0,1,1,1,1,1,4,1,1
76,126,65,65,0.562489,0.551041,0.563105,0.563105,0.100001,447784,657753,474195,386024,0,0,0,0,1,1,1,1,1,4,4,4
76,126,66,70,0.562489,0.551041,0.562226,0.561647,0.5,447784,657753,426161,486505,0,0,0,0,1,1,1,1,1,4,16,20
76,126,78,101,0.562489,0.551041,0.561621,0.559868,1,447784,657753,470296,651160,0,0,0,0,1,1,1,1,1,4,29,49
78,105,114,114,0.120569,0.130772,0.130428,0.130428,0.0100001,764613,612103,1.02683e+06,846802,0,0,0,0,1,1,1,1,1,5,21,21
78,105,83,83,0.120569,0.130772,0.12154,0.12154,0.100001,764613,612103,542540,416192,0,0,0,0,1,1,1,1,1,5,1,1
78,105,80,80,0.120569,0.130772,0.119259,0.119259,0.5,764613,612103,396083,392610,0,0,0,0,1,1,1,1,1,5,3,3
78,105,82,82,0.120569,0.130772,0.119129,0.117735,1,764613,612103,511267,455422,0,0,0,0,1,1,1,1,1,5,7,8
101,100,103,103,0.406002,0.403699,0.404127,0.404127,0.0100001,518231,508077,553488,934544,0,0,0,0,1,1,1,1,5,2,7,7
101,100,75,75,0.406002,0.403699,0.400973,0.400973,0.100001,518231,508077,735546,547130,0,0,0,0,1,1,1,1,5,2,1,1
101,100,94,96,0.406002,0.403699,0.395398,0.396898,0.5,518231,508077,579021,681424,0,0,0,0,1,1,1,1,5,2,2,2
101,100,97,88,0.406002,0.403699,0.395693,0.41526,1,518231,508077,433439,467654,0,0,0,0,1,1,1,1,5,2,3,4
206,160,190,190,0.168355,0.249577,0.177664,0.177664,0.0100001,1.16703e+06,708867,1.58104e+06,1.48588e+06,0,0,0,0,1,1,1,1,3,11,1,1
206,160,203,203,0.168355,0.249577,0.169184,0.169184,0.100001,1.16703e+06,708867,1.46581e+06,766211,0,0,0,0,1,1,1,1,3,11,2,2
206,160,194,201,0.168355,0.249577,0.167853,0.167592,0.5,1.16703e+06,708867,2.05779e+06,1.33357e+06,0,0,0,0,1,1,1,1,3,11,6,6
206,160,202,205,0.168355,0.249577,0.166721,0.166793,1,1.16703e+06,708867,1.07229e+06,1.47178e+06,0,0,0,0,1,1,1,1,3,11,11,15
224,217,222,222,0.172557,0.178432,0.172766,0.172766,0.0100001,1.54602e+06,1.35698e+06,1.72929e+06,1.66802e+06,0,0,0,0,1,1,1,1,7,2,6,6
224,217,229,229,0.172557,0.178432,0.172706,0.172706,0.100001,1.54602e+06,1.35698e+06,1.89249e+06,2.24288e+06,0,0,0,0,1,1,1,1,7,2,14,14
224,217,206,206,0.172557,0.178432,0.171521,0.171521,0.5,1.54602e+06,1.35698e+06,1.37382e+06,1.50513e+06,0,0,0,0,1,1,1,1,7,2,1,1
224,217,209,209,0.172557,0.178432,0.169821,0.172305,1,1.54602e+06,1.35698e+06,1.21811e+06,1.1885e+06,0,0,0,0,1,1,1,1,7,2,2,2
198,202,160,160,0.163469,0.457892,0.203371,0.203371,0.0100001,1.04815e+06,1.05332e+06,843945,650528,0,0,0,0,1,1,1,1,11,13,1,1
198,202,166,166,0.163469,0.457892,0.171291,0.171291,0.100001,1.04815e+06,1.05332e+06,880024,857011,0,0,0,0,1,1,1,1,11,13,2,2
198,202,175,177,0.163469,0.457892,0.160683,0.161344,0.5,1.04815e+06,1.05332e+06,974270,939844,0,0,0,0,1,1,1,1,11,13,5,5
198,202,177,185,0.163469,0.457892,0.160093,0.16053,1,1.04815e+06,1.05332e+06,972241,1.03926e+06,0,0,0,0,1,1,1,1,11,13,10,12
33,56,79,79,0.1729,0.444448,0.155047,0.155047,0.0100001,292921,340280,498783,696591,0,0,0,0,1,1,1,1,2,1,1,1
33,56,88,88,0.1729,0.444448,0.129357,0.129357,0.100001,292921,340280,598041,671332,0,0,0,0,1,1,1,1,2,1,2,2
33,56,102,102,0.1729,0.444448,0.126335,0.126335,0.5,292921,340280,720768,885421,0,0,0,0,1,1,1,1,2,1,5,5
33,56,103,106,0.1729,0.444448,0.126016,0.12639,1,292921,340280,775135,1.20719e+06,0,0,0,0,1,1,1,1,2,1,11,13
173,201,203,203,0.162133,0.16759,0.182972,0.182972,0.0100001,1.07103e+06,1.55992e+06,1.35851e+06,1.58929e+06,0,0,0,0,1,1,1,1,1,7,19,19
173,201,177,177,0.162133,0.16759,0.159927,0.159927,0.100001,1.07103e+06,1.55992e+06,973837,1.33897e+06,0,0,0,0,1,1,1,1,1,7,1,1
173,201,168,168,0.162133,0.16759,0.158147,0.158147,0.5,1.07103e+06,1.55992e+06,1.40202e+06,1.34739e+06,0,0,0,0,1,1,1,1,1,7,3,3
173,201,173,173,0.162133,0.16759,0.15702,0.159649,1,1.07103e+06,1.55992e+06,1.21771e+06,1.24038e+06,0,0,0,0,1,1,1,1,1,7,6,7
130,130,176,176,0.198394,0.250736,0.162537,0.162537,0.0100001,1.05375e+06,1.18141e+06,1.27023e+06,1.379e+06,0,0,0,0,1,1,1,1,2,1,1,1
130,130,129,129,0.198394,0.250736,0.194308,0.194308,0.100001,1.05375e+06,1.18141e+06,891596,1.17519e+06,0,0,0,0,1,1,1,1,2,1,3,3
130,130,171,159,0.198394,0.250736,0.157384,0.157122,0.5,1.05375e+06,1.18141e+06,1.24536e+06,972378,0,0,0,0,1,1,1,1,2,1,7,8
130,130,171,176,0.198394,0.250736,0.155076,0.153919,1,1.05375e+06,1.18141e+06,1.01681e+06,1.00004e+06,0,0,0,0,1,1,1,1,2,1,14,19
115,66,118,118,0.406143,0.498105,0.410355,0.410355,0.0100001,1.08188e+06,334985,704888,823695,0,0,0,0,1,1,1,1,15,1,9,9
115,66,98,98,0.406143,0.498105,0.397187,0.397187,0.100001,1.08188e+06,334985,533334,410457,0,0,0,0,1,1,1,1,15,1,3,3
115,66,96,97,0.406143,0.498105,0.389645,0.38919,0.5,1.08188e+06,334985,584958,668941,0,0,0,0,1,1,1,1,15,1,11,12
115,66,104,115,0.406143,0.498105,0.387126,0.385928,1,1.08188e+06,334985,757650,791788,0,0,0,0,1,1,1,1,15,1,21,32
131,102,147,147,0.148176,0.259301,0.153377,0.153377,0.0100001,1.13936e+06,614488,1.02231e+06,1.21939e+06,0,0,0,0,1,1,1,1,2,2,1,1
131,102,155,155,0.148176,0.259301,0.150344,0.150344,0.100001,1.13936e+06,614488,1.16268e+06,1.44283e+06,0,0,0,0,1,1,1,1,2,2,14,14
131,102,128,131,0.148176,0.259301,0.140157,0.140548,0.5,1.13936e+06,614488,1.20466e+06,1.1572e+06,0,0,0,0,1,1,1,1,2,2,7,7
131,102,140,144,0.148176,0.259301,0.142449,0.139846,1,1.13936e+06,614488,1.13246e+06,912464,0,0,0,0,1,1,1,1,2,2,13,17
100,122,5,5,0.129867,0.137358,0.242602,0.242602,0.0100001,858462,753989,26986,27381,0,0,0,0,1,1,1,1,5,7,1,1
100,122,104,104,0.129867,0.137358,0.136372,0.136372,0.100001,858462,753989,726120,848779,0,0,0,0,1,1,1,1,5,7,19,19
100,122,89,89,0.129867,0.137358,0.121422,0.121422,0.5,858462,753989,753235,715979,0,0,0,0,1,1,1,1,5,7,4,4
100,122,91,94,0.129867,0.137358,0.121723,0.120996,1,858462,753989,751519,875254,0,0,0,0,1,1,1,1,5,7,9,10
141,174,182,182,0.154916,0.159063,0.156524,0.156524,0.0100001,1.26838e+06,1.38689e+06,1.07762e+06,1.36109e+06,0,0,0,0,1,1,1,1,1,6,18,18
141,174,146,146,0.154916,0.159063,0.152878,0.152878,0.100001,1.26838e+06,1.38689e+06,1.38243e+06,986252,0,0,0,0,1,1,1,1,1,6,1,1
141,174,137,137,0.154916,0.159063,0.148124,0.148124,0.5,1.26838e+06,1.38689e+06,890538,1.01488e+06,0,0,0,0,1,1,1,1,1,6,3,3
141,174,149,151,0.154916,0.159063,0.154957,0.148656,1,1.26838e+06,1.38689e+06,967450,1.1452e+06,0,0,0,0,1,1,1,1,1,6,5,6
