IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
1245,1248,1245,1245,-24776.5,-24776.5,-24776.5,-24776.5,0.0100001,2.04391e+07,2.08967e+07,1.93906e+07,1.97066e+07,0,0,0,0,1,1,1,1,1,3,1,1
1245,1248,1245,1245,-24776.5,-24776.5,-24776.5,-24776.5,0.100001,2.04391e+07,2.08967e+07,1.91816e+07,1.93759e+07,0,0,0,0,1,1,1,1,1,3,4,4
1245,1248,1246,1245,-24776.5,-24776.5,-24776.5,-24776.5,0.5,2.04391e+07,2.08967e+07,2.19565e+07,2.19425e+07,0,0,0,0,1,1,1,1,1,3,17,15
1245,1248,1246,1246,-24776.5,-24776.5,-24776.5,-24776.5,1,2.04391e+07,2.08967e+07,1.99048e+07,1.83108e+07,0,0,0,0,1,1,1,1,1,3,34,28
1370,1370,1370,1370,-24776.5,-24776.5,-24776.5,-24776.5,0.0100001,1.99843e+07,1.56245e+07,1.60472e+07,1.57576e+07,0,0,0,0,1,1,1,1,126,2,128,128
1370,1370,1371,1371,-24776.5,-24776.5,-24776.5,-24776.5,0.100001,1.99843e+07,1.56245e+07,2.09247e+07,1.82662e+07,0,0,0,0,1,1,1,1,126,2,149,146
1370,1370,1371,1371,-24776.5,-24776.5,-24776.5,-24776.5,0.5,1.99843e+07,1.56245e+07,1.86203e+07,2.05041e+07,0,0,0,0,1,1,1,1,126,2,242,227
1370,1370,1076,1067,-24776.5,-24776.5,-24776.5,-24776.5,1,1.99843e+07,1.56245e+07,1.56594e+07,1.59609e+07,0,0,0,0,1,1,1,1,126,2,264,246
1165,1170,1165,1167,-24776.5,-24776.5,-24776.5,-24776.5,0.0100001,1.35362e+07,1.48922e+07,1.58612e+07,1.5532e+07,0,0,0,0,1,1,1,1,4,5,5,7
1165,1170,1165,1165,-24776.5,-24776.5,-24776.5,-24776.5,0.100001,1.35362e+07,1.48922e+07,1.47497e+07,1.38215e+07,0,0,0,0,1,1,1,1,4,5,14,12
1165,1170,1166,1166,-24776.5,-24776.5,-24776.5,-24776.5,0.5,1.35362e+07,1.48922e+07,1.37929e+07,1.41337e+07,0,0,0,0,1,1,1,1,4,5,52,45
1165,1170,1167,1166,-24776.5,-24776.5,-24776.5,-24776.5,1,1.35362e+07,1.48922e+07,1.59158e+07,1.7735e+07,0,0,0,0,1,1,1,1,4,5,101,85
1302,1303,1302,1302,2.49802e-06,-24776.5,2.49802e-06,2.49803e-06,0.0100001,1.3606e+07,1.26303e+07,1.66564e+07,1.53234e+07,0,0,0,0,1,1,1,1,120,10,120,120
1302,1303,1302,1043,2.49802e-06,-24776.5,2.49808e-06,-24776.5,0.100001,1.3606e+07,1.26303e+07,1.57237e+07,1.24544e+07,0,0,0,0,1,1,1,1,120,10,120,215
1302,1303,1302,1302,2.49802e-06,-24776.5,2.49873e-06,2.49878e-06,0.5,1.3606e+07,1.26303e+07,1.69109e+07,1.55739e+07,0,0,0,0,1,1,1,1,120,10,163,122
1302,1303,1016,1302,2.49802e-06,-24776.5,-24776.5,2.49987e-06,1,1.3606e+07,1.26303e+07,1.02088e+07,1.03104e+07,0,0,0,0,1,1,1,1,120,10,188,123
1476,1477,1476,1475,-24776.5,-24776.5,-24776.5,-24776.5,0.0100001,1.43048e+07,7.99813e+06,9.48037e+06,1.39849e+07,0,0,0,0,1,1,1,1,30,2,32,33
1476,1477,1476,1476,-24776.5,-24776.5,-24776.5,-24776.5,0.100001,1.43048e+07,7.99813e+06,1.49546e+07,1.24229e+07,0,0,0,0,1,1,1,1,30,2,53,56
1476,1477,1476,1477,-24776.5,-24776.5,-24776.5,-24776.5,0.5,1.43048e+07,7.99813e+06,1.27617e+07,1.35312e+07,0,0,0,0,1,1,1,1,30,2,302,335
1476,1477,1220,1226,-24776.5,-24776.5,-24776.5,-24776.5,1,1.43048e+07,7.99813e+06,1.13428e+07,1.16833e+07,0,0,0,0,1,1,1,1,30,2,399,413
1422,1421,1422,1422,2.45148e-06,-24776.5,2.45154e-06,2.45158e-06,0.0100001,1.2211e+07,1.16332e+07,1.76376e+07,1.64905e+07,0,0,0,0,1,1,1,1,240,4,240,240
1422,1421,1422,1422,2.45148e-06,-24776.5,2.45246e-06,2.45283e-06,0.100001,1.2211e+07,1.16332e+07,1.02375e+07,9.37106e+06,0,0,0,0,1,1,1,1,240,4,240,275
1422,1421,1362,1267,2.45148e-06,-24776.5,-24776.5,-24776.5,0.5,1.2211e+07,1.16332e+07,1.95689e+07,1.17619e+07,0,0,0,0,1,1,1,1,240,4,549,443
1422,1421,1290,1304,2.45148e-06,-24776.5,-24776.5,-24776.5,1,1.2211e+07,1.16332e+07,1.14972e+07,1.6179e+07,0,0,0,0,1,1,1,1,240,4,530,488
1405,1405,1405,1405,-24776.5,-24776.5,-24776.5,-24776.5,0.0100001,1.03238e+07,8.67591e+06,1.69849e+07,1.08156e+07,0,0,0,0,1,1,1,1,148,10,149,149
1405,1405,1405,1405,-24776.5,-24776.5,-24776.5,-24776.5,0.100001,1.03238e+07,8.67591e+06,1.34965e+07,1.20802e+07,0,0,0,0,1,1,1,1,148,10,167,164
