IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
1186,672,1077,1091,3.00056,3.00065,3.00061,3.00061,0.0100001,8.32397e+08,2.988e+08,5.26514e+08,3.29097e+08,0,0,0,0,1,1,1,1,617,28,472,472
1186,672,1063,1063,3.00056,3.00065,3.00059,3.00059,0.100001,8.32397e+08,2.988e+08,3.16891e+08,2.97667e+08,0,0,0,0,1,1,1,1,617,28,479,479
1186,672,1063,1063,3.00056,3.00065,3.00059,3.00059,0.5,8.32397e+08,2.988e+08,3.14686e+08,3.21169e+08,0,0,0,0,1,1,1,1,617,28,479,479
1186,672,1063,1063,3.00056,3.00065,3.00059,3.00059,1,8.32397e+08,2.988e+08,3.13558e+08,3.37493e+08,0,0,0,0,1,1,1,1,617,28,479,479
1410,532,1641,1347,3.00121,3.00075,3.00121,3.00122,0.0100001,1.93283e+08,6.99476e+07,3.60565e+08,2.77886e+08,0,0,0,0,1,1,1,1,1008,36,1182,893
1410,532,1429,1429,3.00121,3.00075,3.00122,3.00122,0.100001,1.93283e+08,6.99476e+07,2.99574e+08,3.07543e+08,0,0,0,0,1,1,1,1,1008,36,965,965
1410,532,1429,1429,3.00121,3.00075,3.00122,3.00122,0.5,1.93283e+08,6.99476e+07,2.87738e+08,2.81856e+08,0,0,0,0,1,1,1,1,1008,36,965,965
1410,532,1429,1429,3.00121,3.00075,3.00122,3.00122,1,1.93283e+08,6.99476e+07,2.68124e+08,2.62452e+08,0,0,0,0,1,1,1,1,1008,36,965,965
1396,1106,1150,1127,84.0001,84.0001,84.0001,84.0001,0.0100001,1.64432e+08,1.17341e+08,1.65547e+08,1.66317e+08,0,0,0,0,1,1,1,1,699,13,434,435
1396,1106,1137,1137,84.0001,84.0001,84.0001,84.0001,0.100001,1.64432e+08,1.17341e+08,1.61479e+08,1.54711e+08,0,0,0,0,1,1,1,1,699,13,435,435
1396,1106,1137,1137,84.0001,84.0001,84.0001,84.0001,0.5,1.64432e+08,1.17341e+08,1.63031e+08,1.64916e+08,0,0,0,0,1,1,1,1,699,13,435,435
1396,1106,1137,1137,84.0001,84.0001,84.0001,84.0001,1,1.64432e+08,1.17341e+08,1.54262e+08,1.61936e+08,0,0,0,0,1,1,1,1,699,13,435,435
754,458,492,489,3.00061,3.0006,3.00064,3.00063,0.0100001,7.22481e+07,4.61949e+07,4.56485e+07,5.1435e+07,0,0,0,0,1,1,1,1,275,20,9,10
754,458,574,574,3.00061,3.0006,3.00063,3.00063,0.100001,7.22481e+07,4.61949e+07,7.37963e+07,7.13168e+07,0,0,0,0,1,1,1,1,275,20,90,90
754,458,574,574,3.00061,3.0006,3.00063,3.00063,0.5,7.22481e+07,4.61949e+07,6.23457e+07,6.71891e+07,0,0,0,0,1,1,1,1,275,20,90,90
754,458,574,574,3.00061,3.0006,3.00063,3.00063,1,7.22481e+07,4.61949e+07,6.85395e+07,6.27443e+07,0,0,0,0,1,1,1,1,275,20,90,90
795,593,688,656,3.0006,3.00103,3.00061,3.00061,0.0100001,7.94246e+07,5.5738e+07,6.35272e+07,7.00216e+07,0,0,0,0,1,1,1,1,141,20,4,4
795,593,680,680,3.0006,3.00103,3.0006,3.0006,0.100001,7.94246e+07,5.5738e+07,6.87364e+07,6.88831e+07,0,0,0,0,1,1,1,1,141,20,13,13
795,593,680,680,3.0006,3.00103,3.0006,3.0006,0.5,7.94246e+07,5.5738e+07,6.0938e+07,6.97588e+07,0,0,0,0,1,1,1,1,141,20,13,13
795,593,680,680,3.0006,3.00103,3.0006,3.0006,1,7.94246e+07,5.5738e+07,6.4805e+07,6.12952e+07,0,0,0,0,1,1,1,1,141,20,13,13
597,668,483,485,3.00107,3.00123,3.00091,3.00092,0.0100001,5.61563e+07,6.09245e+07,4.78452e+07,4.53768e+07,0,0,0,0,1,1,1,1,3,3,17,16
597,668,544,544,3.00107,3.00123,3.00089,3.00089,0.100001,5.61563e+07,6.09245e+07,5.85646e+07,5.88283e+07,0,0,0,0,1,1,1,1,3,3,100,100
597,668,544,544,3.00107,3.00123,3.00089,3.00089,0.5,5.61563e+07,6.09245e+07,5.72789e+07,5.76039e+07,0,0,0,0,1,1,1,1,3,3,100,100
597,668,544,544,3.00107,3.00123,3.00089,3.00089,1,5.61563e+07,6.09245e+07,6.13919e+07,6.02408e+07,0,0,0,0,1,1,1,1,3,3,100,100
1567,1027,1717,1381,3.00122,84.0001,3.00122,3.00121,0.0100001,1.54056e+08,9.13649e+07,2.91951e+08,2.23712e+08,0,0,0,0,1,1,1,1,1116,6,1263,988
