IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
174,167,135,138,-3.06316,-3.06683,-3.06432,-3.06209,0.0100001,3.99539e+07,3.8452e+07,6.10914e+07,4.33991e+07,0,0,0,0,1,1,1,1,33,7,18,4
174,167,223,219,-3.06316,-3.06683,-3.06203,-3.06203,0.100001,3.99539e+07,3.8452e+07,8.89951e+07,7.09215e+07,0,0,0,0,1,1,1,1,33,7,82,70
174,167,3344,2905,-3.06316,-3.06683,-3.06163,-3.06174,0.5,3.99539e+07,3.8452e+07,1.17643e+09,6.02626e+08,0,0,0,0,1,1,1,1,33,7,3196,2757
174,167,9878,8280,-3.06316,-3.06683,-3.06297,-3.06379,1,3.99539e+07,3.8452e+07,1.87092e+09,8.3682e+08,0,0,0,0,1,1,1,1,33,7,9749,8156
232,189,225,238,-3.08239,-3.07782,-3.0816,-3.08023,0.0100001,1.22963e+07,9.57833e+06,1.36097e+07,1.41705e+07,0,0,0,0,1,1,1,1,26,4,26,41
232,189,203,197,-3.08239,-3.07782,-3.07519,-3.07526,0.100001,1.22963e+07,9.57833e+06,1.24396e+07,9.52955e+06,0,0,0,0,1,1,1,1,26,4,37,32
232,189,1104,976,-3.08239,-3.07782,-3.07491,-3.0743,0.5,1.22963e+07,9.57833e+06,1.04438e+08,8.99105e+07,0,0,0,0,1,1,1,1,26,4,942,811
232,189,2838,2410,-3.08239,-3.07782,-3.07485,-3.07474,1,1.22963e+07,9.57833e+06,2.71868e+08,2.28547e+08,0,0,0,0,1,1,1,1,26,4,2676,2246
73,85,118,115,-0.977291,-0.971373,-0.976138,-0.975909,0.0100001,3.46826e+06,3.62211e+06,6.76783e+06,6.75314e+06,0,0,0,0,1,1,1,1,11,1,20,24
73,85,95,89,-0.977291,-0.971373,-0.970665,-0.97144,0.100001,3.46826e+06,3.62211e+06,4.78193e+06,4.82139e+06,0,0,0,0,1,1,1,1,11,1,4,3
73,85,662,595,-0.977291,-0.971373,-0.972416,-0.972408,0.5,3.46826e+06,3.62211e+06,5.99705e+07,5.06558e+07,0,0,0,0,1,1,1,1,11,1,578,512
73,85,2012,1855,-0.977291,-0.971373,-0.973123,-0.972165,1,3.46826e+06,3.62211e+06,1.82603e+08,1.7275e+08,0,0,0,0,1,1,1,1,11,1,1962,1760
273,264,271,258,-3.85945,-3.85943,-3.85998,-3.8599,0.0100001,1.26424e+07,1.2269e+07,1.35999e+07,1.25536e+07,0,0,0,0,1,1,1,1,29,22,27,12
273,264,281,272,-3.85945,-3.85943,-3.8591,-3.85958,0.100001,1.26424e+07,1.2269e+07,1.45942e+07,1.4447e+07,0,0,0,0,1,1,1,1,29,22,37,33
273,264,1061,939,-3.85945,-3.85943,-3.85991,-3.85985,0.5,1.26424e+07,1.2269e+07,8.00488e+07,7.78995e+07,0,0,0,0,1,1,1,1,29,22,814,691
273,264,2719,2297,-3.85945,-3.85943,-3.8598,-3.85973,1,1.26424e+07,1.2269e+07,2.34904e+08,1.97587e+08,0,0,0,0,1,1,1,1,29,22,2476,2052
280,242,268,265,-3.86006,-3.85899,-3.8593,-3.8598,0.0100001,1.19171e+07,1.12691e+07,1.20364e+07,1.27008e+07,0,0,0,0,1,1,1,1,52,2,33,25
280,242,267,266,-3.86006,-3.85899,-3.85861,-3.85873,0.100001,1.19171e+07,1.12691e+07,1.21917e+07,1.20877e+07,0,0,0,0,1,1,1,1,52,2,37,33
280,242,981,867,-3.86006,-3.85899,-3.85959,-3.85975,0.5,1.19171e+07,1.12691e+07,7.25389e+07,6.47521e+07,0,0,0,0,1,1,1,1,52,2,740,627
280,242,2566,2166,-3.86006,-3.85899,-3.85921,-3.85943,1,1.19171e+07,1.12691e+07,2.10256e+08,1.83129e+08,0,0,0,0,1,1,1,1,52,2,2330,1929
231,222,205,144,-3.07931,-3.8547,-3.07672,-3.06309,0.0100001,8.61222e+06,8.16858e+06,8.46779e+06,6.58893e+06,0,0,0,0,1,1,1,1,33,5,27,4
231,222,214,208,-3.07931,-3.8547,-3.0712,-3.07122,0.100001,8.61222e+06,8.16858e+06,1.12308e+07,9.42508e+06,0,0,0,0,1,1,1,1,33,5,57,49
231,222,2663,2356,-3.07931,-3.8547,-3.07125,-3.06956,0.5,8.61222e+06,8.16858e+06,2.18991e+08,1.83528e+08,0,0,0,0,1,1,1,1,33,5,2507,2193
231,222,7129,6096,-3.07931,-3.8547,-3.07202,-3.07028,1,8.61222e+06,8.16858e+06,5.83056e+08,4.96127e+08,0,0,0,0,1,1,1,1,33,5,6977,5937
255,234,221,230,-3.85697,-3.8565,-3.85562,-3.85566,0.0100001,1.21441e+07,1.01282e+07,8.90088e+06,8.11059e+06,0,0,0,0,1,1,1,1,30,3,1,1
255,234,246,238,-3.85697,-3.8565,-3.85606,-3.85619,0.100001,1.21441e+07,1.01282e+07,9.14661e+06,1.18384e+07,0,0,0,0,1,1,1,1,30,3,14,12
255,234,591,538,-3.85697,-3.8565,-3.85607,-3.85608,0.5,1.21441e+07,1.01282e+07,4.10723e+07,3.01731e+07,0,0,0,0,1,1,1,1,30,3,356,303
255,234,1422,1226,-3.85697,-3.8565,-3.85616,-3.85614,1,1.21441e+07,1.01282e+07,1.06052e+08,9.2076e+07,0,0,0,0,1,1,1,1,30,3,1187,994
254,227,245,186,-3.85946,-3.85556,-3.85544,-3.85512,0.0100001,1.16299e+07,9.90224e+06,1.04453e+07,7.38148e+06,0,0,0,0,1,1,1,1,3,4,30,2
254,227,225,210,-3.85946,-3.85556,-3.85549,-3.85549,0.100001,1.16299e+07,9.90224e+06,1.04694e+07,7.98061e+06,0,0,0,0,1,1,1,1,3,4,19,17
254,227,1027,907,-3.85946,-3.85556,-3.85541,-3.8553,0.5,1.16299e+07,9.90224e+06,7.24145e+07,5.85766e+07,0,0,0,0,1,1,1,1,3,4,804,682
254,227,3099,2613,-3.85946,-3.85556,-3.8553,-3.85536,1,1.16299e+07,9.90224e+06,2.26448e+08,1.92068e+08,0,0,0,0,1,1,1,1,3,4,2874,2387
257,220,260,270,-3.8581,-3.85775,-3.85804,-3.85802,0.0100001,9.07913e+06,7.74677e+06,9.57225e+06,1.00976e+07,0,0,0,0,1,1,1,1,7,4,13,18
257,220,251,252,-3.8581,-3.85775,-3.85771,-3.85758,0.100001,9.07913e+06,7.74677e+06,8.8841e+06,8.92875e+06,0,0,0,0,1,1,1,1,7,4,3,3
257,220,309,299,-3.8581,-3.85775,-3.85775,-3.8577,0.5,9.07913e+06,7.74677e+06,1.28836e+07,1.22329e+07,0,0,0,0,1,1,1,1,7,4,57,49
257,220,402,409,-3.8581,-3.85775,-3.85783,-3.85776,1,9.07913e+06,7.74677e+06,2.12232e+07,1.99355e+07,0,0,0,0,1,1,1,1,7,4,186,157
252,266,258,226,-3.85836,-3.8584,-3.85835,-3.85854,0.0100001,1.0058e+07,1.02842e+07,9.99313e+06,8.4816e+06,0,0,0,0,1,1,1,1,6,10,11,16
