IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
156,152,19,69,-2.21758,-2.21969,-2.06509e+10,-2.0375,0.0100001,6.37794e+06,7.71758e+06,2.29345e+06,6.70551e+06,0,0,-2147483648,0,1,1,1,1,72,55,16,60
156,152,25,22,-2.21758,-2.21969,-1.58404,-1.59114,0.100001,6.37794e+06,7.71758e+06,2.28417e+06,2.23675e+06,0,0,0,0,1,1,0,0,72,55,23,20
156,152,169,140,-2.21758,-2.21969,-1.56595,-1.56502,0.5,6.37794e+06,7.71758e+06,1.37958e+07,1.22792e+07,0,0,0,0,1,1,0,0,72,55,167,138
156,152,609,501,-2.21758,-2.21969,-1.56363,-1.56379,1,6.37794e+06,7.71758e+06,4.87036e+07,5.42269e+07,0,0,0,0,1,1,0,0,72,55,607,499
21,3,5,24,-1.4661,-1.84176,-1.2762,-1.16751,0.0100001,547074,134445,404256,2.18884e+06,0,0,0,0,0,0,0,0,19,1,3,22
21,3,16,14,-1.4661,-1.84176,-0.99892,-0.998161,0.100001,547074,134445,1.20582e+06,1.1703e+06,0,0,0,0,0,0,0,0,19,1,14,12
21,3,99,82,-1.4661,-1.84176,-0.972199,-0.96962,0.5,547074,134445,1.06795e+07,8.41789e+06,0,0,0,0,0,0,0,0,19,1,97,80
21,3,348,287,-1.4661,-1.84176,-0.969101,-0.969416,1,547074,134445,3.41273e+07,2.84285e+07,0,0,0,0,0,0,0,0,19,1,346,285
171,167,161,171,-2.22787,-2.22835,-2.22868,-2.22803,0.5,8.32214e+06,8.17404e+06,7.88142e+06,8.80226e+06,0,0,0,0,1,1,1,1,15,14,20,16
82,78,80,66,-0.946777,-0.947044,-0.945986,-0.95415,0.0100001,4.30811e+06,3.45267e+06,4.5945e+06,4.36461e+06,0,0,0,0,1,1,1,1,18,13,17,19
