IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
435,368,171,217,0.212554,0.119984,0.35823,0.352732,0.5,4.28852e+08,2.41476e+08,1.56763e+08,1.82289e+08,0,0,0,0,0,0,0,0,433,366,169,215
435,368,17,15,0.212554,0.119984,0.353686,0.271437,1,4.28852e+08,2.41476e+08,1.2304e+07,1.16439e+07,0,0,0,0,0,0,0,0,433,366,15,13
157,161,165,185,0.14007,0.141445,0.141787,0.147386,0.100001,7.06923e+07,6.93766e+07,7.78639e+07,9.76854e+07,0,0,0,0,0,0,0,0,155,159,163,183
157,161,7,7,0.14007,0.141445,0.121533,0.124144,0.5,7.06923e+07,6.93766e+07,2.20871e+06,3.52987e+06,0,0,0,0,0,0,0,0,155,159,5,5
157,161,74,69,0.14007,0.141445,0.149365,0.150286,1,7.06923e+07,6.93766e+07,3.21359e+07,3.25796e+07,0,0,0,0,0,0,0,0,155,159,72,67
321,224,329,334,0.0988565,0.0884649,0.0990133,0.0990367,0.0100001,7.72507e+07,4.66739e+07,1.44251e+08,1.51638e+08,0,0,0,0,0,0,0,0,319,222,327,332
321,224,497,518,0.0988565,0.0884649,0.0993709,0.0993805,0.100001,7.72507e+07,4.66739e+07,1.9951e+08,2.11971e+08,0,0,0,0,0,0,0,0,319,222,495,516
321,224,998,998,0.0988565,0.0884649,0.0994575,0.0994575,0.5,7.72507e+07,4.66739e+07,4.02619e+08,4.23664e+08,0,0,0,0,0,0,0,0,319,222,996,996
37,35,35,41,0.0833118,0.0838746,0.0837857,0.0844497,0.100001,9.91345e+06,8.07637e+06,9.06471e+06,1.10245e+07,0,0,0,0,0,0,0,0,35,33,33,39
37,35,4,4,0.0833118,0.0838746,0.0539984,0.0537375,0.5,9.91345e+06,8.07637e+06,952881,963033,0,0,0,0,0,0,0,0,35,33,2,2
