IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
597,592,515,519,0.000614288,0.00179992,0.000816815,0.000793198,0.0100001,6.00977e+06,6.97453e+06,6.24431e+06,6.14097e+06,0,0,0,0,1,1,1,1,79,2,1,1
597,592,612,615,0.000614288,0.00179992,0.000730353,0.000744118,0.100001,6.00977e+06,6.97453e+06,6.63979e+06,7.33812e+06,0,0,0,0,1,1,1,1,79,2,64,68
597,592,526,425,0.000614288,0.00179992,0.000488967,0.000482419,0.5,6.00977e+06,6.97453e+06,7.19413e+06,4.53257e+06,0,0,0,0,1,1,1,1,79,2,69,5
597,592,248,322,0.000614288,0.00179992,0.00211079,0.000628786,1,6.00977e+06,6.97453e+06,2.83083e+06,4.03735e+06,0,0,0,0,1,1,1,1,79,2,12,12
564,635,578,587,0.000660193,0.00294462,0.00126765,0.00119819,0.0100001,6.20113e+06,5.86797e+06,5.51957e+06,5.53661e+06,0,0,0,0,1,1,1,1,33,1,1,1
564,635,636,505,0.000660193,0.00294462,0.00146122,0.000995158,0.100001,6.20113e+06,5.86797e+06,7.67542e+06,5.72191e+06,0,0,0,0,1,1,1,1,33,1,58,2
564,635,511,505,0.000660193,0.00294462,0.000564693,0.000544306,0.5,6.20113e+06,5.86797e+06,5.89518e+06,5.16287e+06,0,0,0,0,1,1,1,1,33,1,4,4
564,635,463,473,0.000660193,0.00294462,0.000483001,0.000493064,1,6.20113e+06,5.86797e+06,5.33429e+06,5.02944e+06,0,0,0,0,1,1,1,1,33,1,7,7
975,969,973,974,0.00121192,0.00140147,0.00123311,0.00122211,0.0100001,1.10919e+07,1.04995e+07,1.22452e+07,1.20063e+07,0,0,0,0,1,1,1,1,82,4,75,79
975,969,974,985,0.00121192,0.00140147,0.00121889,0.0011373,0.100001,1.10919e+07,1.04995e+07,1.2077e+07,1.24834e+07,0,0,0,0,1,1,1,1,82,4,78,113
975,969,978,1048,0.00121192,0.00140147,0.00118972,0.000993146,0.5,1.10919e+07,1.04995e+07,1.27649e+07,1.44165e+07,0,0,0,0,1,1,1,1,82,4,94,222
975,969,988,1057,0.00121192,0.00140147,0.0011333,0.000869525,1,1.10919e+07,1.04995e+07,1.15114e+07,1.44125e+07,0,0,0,0,1,1,1,1,82,4,120,275
561,622,634,630,0.0173137,0.0321754,0.02399,0.0264034,0.0100001,6.04095e+06,6.07742e+06,6.73701e+06,6.66385e+06,0,0,0,0,1,1,1,1,1,9,34,34
561,622,507,492,0.0173137,0.0321754,0.0277225,0.0340203,0.100001,6.04095e+06,6.07742e+06,5.58153e+06,5.74979e+06,0,0,0,0,1,1,1,1,1,9,1,1
561,622,536,588,0.0173137,0.0321754,0.0147274,0.0181617,0.5,6.04095e+06,6.07742e+06,5.85956e+06,6.21058e+06,0,0,0,0,1,1,1,1,1,9,2,15
