IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
44,3,58,6,-1.14803,-1.18671,-1.14822,-1.14916,0.0100001,1.94864e+06,85835,3.64816e+06,648163,0,0,0,0,1,0,1,1,2,1,3,1
44,3,49,57,-1.14803,-1.18671,-1.14586,-1.14559,0.100001,1.94864e+06,85835,4.54495e+06,3.74434e+06,0,0,0,0,1,0,1,1,2,1,8,7
44,3,638,611,-1.14803,-1.18671,-1.14621,-1.14508,0.5,1.94864e+06,85835,9.02119e+07,1.12215e+08,0,0,0,0,1,0,1,1,2,1,596,569
3,61,68,78,-1.2033,-1.1512,-1.15133,-1.15208,0.0100001,123716,2.68968e+06,2.47501e+06,3.254e+06,0,0,0,0,0,1,1,1,1,3,5,6
3,61,72,72,-1.2033,-1.1512,-1.15139,-1.15208,0.100001,123716,2.68968e+06,2.3568e+06,3.08986e+06,0,0,0,0,0,1,1,1,1,3,1,1
3,61,70,78,-1.2033,-1.1512,-1.15164,-1.15102,0.5,123716,2.68968e+06,2.43906e+06,3.66797e+06,0,0,0,0,0,1,1,1,1,3,9,9
3,61,6535,6535,-1.2033,-1.1512,-1.15152,-1.15152,1,123716,2.68968e+06,4.1863e+08,3.95148e+08,0,0,0,0,0,1,1,1,1,3,6470,6470
52,74,76,76,-1.16074,-1.16072,-1.16111,-1.16179,0.0100001,1.83332e+06,2.22284e+06,1.6834e+06,1.73145e+06,0,0,0,0,1,1,1,1,4,1,3,2
52,74,69,68,-1.16074,-1.16072,-1.1617,-1.16104,0.100001,1.83332e+06,2.22284e+06,1.97686e+06,1.49046e+06,0,0,0,0,1,1,1,1,4,1,1,1
52,74,508,506,-1.16074,-1.16072,-1.1611,-1.16083,0.5,1.83332e+06,2.22284e+06,2.71131e+07,2.52596e+07,0,0,0,0,1,1,1,1,4,1,452,437
52,74,2827,2721,-1.16074,-1.16072,-1.16092,-1.16148,1,1.83332e+06,2.22284e+06,1.6131e+08,1.55431e+08,0,0,0,0,1,1,1,1,4,1,2759,2694
60,78,3,88,-1.15115,-1.15108,-1.18172,-1.1507,0.0100001,1.43315e+06,2.09509e+06,129915,2.46751e+06,0,0,0,0,1,1,0,1,1,5,1,18
60,78,62,32,-1.15115,-1.15108,-1.15108,-1.14997,0.100001,1.43315e+06,2.09509e+06,2.43864e+06,835867,0,0,0,0,1,1,1,1,1,5,3,2
60,78,90,89,-1.15115,-1.15108,-1.1508,-1.15032,0.5,1.43315e+06,2.09509e+06,2.92895e+06,2.61482e+06,0,0,0,0,1,1,1,1,1,5,18,17
60,78,185,178,-1.15115,-1.15108,-1.15059,-1.15012,1,1.43315e+06,2.09509e+06,7.75512e+06,1.00544e+07,0,0,0,0,1,1,1,1,1,5,113,105
138,117,127,118,-1.29173,-1.29183,-1.29162,-1.29162,0.0100001,4.63196e+06,2.59941e+06,5.08345e+06,3.07017e+06,0,0,0,0,1,1,1,1,21,3,2,2
138,117,152,153,-1.29173,-1.29183,-1.2917,-1.29162,0.100001,4.63196e+06,2.59941e+06,5.45299e+06,4.3941e+06,0,0,0,0,1,1,1,1,21,3,24,23
138,117,380,361,-1.29173,-1.29183,-1.29161,-1.2917,0.5,4.63196e+06,2.59941e+06,1.83631e+07,1.86001e+07,0,0,0,0,1,1,1,1,21,3,253,248
138,117,1016,1009,-1.29173,-1.29183,-1.2917,-1.29167,1,4.63196e+06,2.59941e+06,5.81049e+07,5.75704e+07,0,0,0,0,1,1,1,1,21,3,884,876
69,78,95,95,-1.15089,-1.15162,-1.15099,-1.15094,0.0100001,1.42433e+06,2.08656e+06,3.5685e+06,3.74932e+06,0,0,0,0,1,1,1,1,1,5,25,26
69,78,25,75,-1.15089,-1.15162,-1.15176,-1.15165,0.100001,1.42433e+06,2.08656e+06,681088,2.52526e+06,0,0,0,0,1,1,1,1,1,5,2,2
69,78,84,86,-1.15089,-1.15162,-1.15169,-1.15071,0.5,1.42433e+06,2.08656e+06,2.88981e+06,2.89885e+06,0,0,0,0,1,1,1,1,1,5,16,15
69,78,178,167,-1.15089,-1.15162,-1.15132,-1.15179,1,1.42433e+06,2.08656e+06,8.23737e+06,6.08312e+06,0,0,0,0,1,1,1,1,1,5,110,103
28,77,86,83,-1.1514,-1.15146,-1.15105,-1.15134,0.0100001,902385,1.94677e+06,3.18006e+06,2.80375e+06,0,0,0,0,1,1,1,1,1,4,15,10
28,77,62,43,-1.1514,-1.15146,-1.15125,-1.15097,0.100001,902385,1.94677e+06,1.96474e+06,1.01691e+06,0,0,0,0,1,1,1,1,1,4,2,2
28,77,83,82,-1.1514,-1.15146,-1.15141,-1.15118,0.5,902385,1.94677e+06,2.1968e+06,2.80845e+06,0,0,0,0,1,1,1,1,1,4,11,10
28,77,144,144,-1.1514,-1.15146,-1.15152,-1.1508,1,902385,1.94677e+06,5.91203e+06,6.1126e+06,0,0,0,0,1,1,1,1,1,4,79,73
72,74,73,73,-1.15062,-1.15162,-1.15086,-1.15119,0.0100001,2.33871e+06,3.21664e+06,1.86359e+06,3.05702e+06,0,0,0,0,1,1,1,1,1,1,1,1
72,74,52,44,-1.15062,-1.15162,-1.15115,-1.15102,0.100001,2.33871e+06,3.21664e+06,1.44607e+06,1.04842e+06,0,0,0,0,1,1,1,1,1,1,1,1
72,74,73,74,-1.15062,-1.15162,-1.15063,-1.15169,0.5,2.33871e+06,3.21664e+06,2.20181e+06,1.99797e+06,0,0,0,0,1,1,1,1,1,1,1,1
72,74,71,69,-1.15062,-1.15162,-1.15151,-1.15058,1,2.33871e+06,3.21664e+06,2.03891e+06,2.71854e+06,0,0,0,0,1,1,1,1,1,1,1,1
59,60,60,62,-1.09718,-1.09817,-1.09732,-1.09821,0.0100001,2.48439e+06,1.69203e+06,2.39345e+06,2.0595e+06,0,0,0,0,1,1,1,1,5,2,7,5
59,60,59,59,-1.09718,-1.09817,-1.09772,-1.09812,0.100001,2.48439e+06,1.69203e+06,2.53246e+06,1.88499e+06,0,0,0,0,1,1,1,1,5,2,1,1
59,60,121,118,-1.09718,-1.09817,-1.09776,-1.09753,0.5,2.48439e+06,1.69203e+06,4.79106e+06,7.43223e+06,0,0,0,0,1,1,1,1,5,2,63,60
59,60,4083,3975,-1.09718,-1.09817,-1.09861,-1.09794,1,2.48439e+06,1.69203e+06,2.48653e+08,2.37497e+08,0,0,0,0,1,1,1,1,5,2,4037,3922
3,51,65,3,-1.17124,-1.14496,-1.14485,-1.20622,0.0100001,63193,2.42953e+06,3.0148e+06,156231,0,0,0,0,0,1,1,0,1,5,21,1
3,51,39,47,-1.17124,-1.14496,-1.14355,-1.14422,0.100001,63193,2.42953e+06,1.5581e+06,1.18632e+06,0,0,0,0,0,1,1,1,1,5,2,2
3,51,129,117,-1.17124,-1.14496,-1.14433,-1.14464,0.5,63193,2.42953e+06,6.24307e+06,6.8241e+06,0,0,0,0,0,1,1,1,1,5,85,79
3,51,7566,7107,-1.17124,-1.14496,-1.1438,-1.1445,1,63193,2.42953e+06,4.09883e+08,2.7157e+08,0,0,0,0,0,1,1,1,1,5,7538,7089
51,61,55,3,-1.09902,-1.09799,-1.09808,-1.1687,0.0100001,691857,1.46083e+06,1.92056e+06,41400,0,0,0,0,1,1,1,0,4,8,29,1
51,61,51,46,-1.09902,-1.09799,-1.10219,-1.10087,0.100001,691857,1.46083e+06,787212,718213,0,0,0,0,1,1,1,1,4,8,5,5
51,61,4861,4709,-1.09902,-1.09799,-1.09788,-1.10057,0.5,691857,1.46083e+06,1.80512e+08,1.67974e+08,0,0,0,0,1,1,1,1,4,8,4852,4673
3,65,31,67,-1.15868,-1.1147,-1.11075,-1.11516,0.0100001,55473,1.38105e+06,588270,982840,0,0,0,0,0,1,1,1,1,2,13,6
3,65,56,58,-1.15868,-1.1147,-1.11344,-1.11398,0.100001,55473,1.38105e+06,763303,1.32872e+06,0,0,0,0,0,1,1,1,1,2,2,1
3,65,74,76,-1.15868,-1.1147,-1.11371,-1.1139,0.5,55473,1.38105e+06,1.5043e+06,1.39783e+06,0,0,0,0,0,1,1,1,1,2,19,18
3,65,7926,7842,-1.15868,-1.1147,-1.11448,-1.11353,1,55473,1.38105e+06,2.96943e+08,2.827e+08,0,0,0,0,0,1,1,1,1,2,7875,7792
76,73,85,86,-1.15223,-1.15179,-1.15195,-1.15213,0.0100001,2.00022e+06,979405,1.33348e+06,1.78415e+06,0,0,0,0,1,1,1,1,8,8,13,14
76,73,68,53,-1.15223,-1.15179,-1.15134,-1.15192,0.100001,2.00022e+06,979405,1.33769e+06,768740,0,0,0,0,1,1,1,1,8,8,3,3
76,73,72,39,-1.15223,-1.15179,-1.15131,-1.15768,0.5,2.00022e+06,979405,2.15457e+06,1.01998e+06,0,0,0,0,1,1,1,1,8,8,36,36
66,65,68,66,-1.11791,-1.11783,-1.11764,-1.11867,0.0100001,1.17936e+06,939927,1.04055e+06,1.84815e+06,0,0,0,0,1,1,1,1,3,2,5,5
66,65,64,63,-1.11791,-1.11783,-1.11741,-1.11765,0.100001,1.17936e+06,939927,866672,884383,0,0,0,0,1,1,1,1,3,2,1,1
66,65,71,68,-1.11791,-1.11783,-1.11717,-1.11706,0.5,1.17936e+06,939927,1.14922e+06,1.78762e+06,0,0,0,0,1,1,1,1,3,2,14,13
66,65,5891,5754,-1.11791,-1.11783,-1.11784,-1.11702,1,1.17936e+06,939927,1.99106e+08,1.92129e+08,0,0,0,0,1,1,1,1,3,2,5828,5703
161,77,172,156,-1.29178,-1.29108,-1.29175,-1.29174,0.0100001,2.51499e+06,1.49321e+06,3.22615e+06,2.18107e+06,0,0,0,0,1,1,1,1,2,1,2,2
161,77,203,210,-1.29178,-1.29108,-1.29172,-1.29174,0.100001,2.51499e+06,1.49321e+06,3.5731e+06,4.26581e+06,0,0,0,0,1,1,1,1,2,1,41,38
161,77,609,585,-1.29178,-1.29108,-1.29177,-1.29176,0.5,2.51499e+06,1.49321e+06,1.81312e+07,1.77993e+07,0,0,0,0,1,1,1,1,2,1,438,421
161,77,1642,1609,-1.29178,-1.29108,-1.29176,-1.29175,1,2.51499e+06,1.49321e+06,5.20849e+07,4.84032e+07,0,0,0,0,1,1,1,1,2,1,1469,1436
66,54,3,3,-1.15193,-1.15243,-1.18033,-1.17052,0.0100001,1.16312e+06,792275,40528,41583,0,0,0,0,1,1,0,0,1,4,1,1
66,54,71,68,-1.15193,-1.15243,-1.15212,-1.15136,0.100001,1.16312e+06,792275,1.07468e+06,959144,0,0,0,0,1,1,1,1,1,4,3,3
66,54,92,100,-1.15193,-1.15243,-1.15237,-1.15238,0.5,1.16312e+06,792275,1.95481e+06,2.40645e+06,0,0,0,0,1,1,1,1,1,4,37,37
85,86,4,104,-1.15216,-1.15235,-1.1928,-1.15287,0.0100001,1.49782e+06,1.22794e+06,67424,2.20551e+06,0,0,0,0,1,1,0,1,23,13,2,31
85,86,62,45,-1.15216,-1.15235,-1.152,-1.15192,0.100001,1.49782e+06,1.22794e+06,1.25926e+06,757356,0,0,0,0,1,1,1,1,23,13,4,3
85,86,67,77,-1.15216,-1.15235,-1.15232,-1.15282,0.5,1.49782e+06,1.22794e+06,1.26136e+06,1.78557e+06,0,0,0,0,1,1,1,1,23,13,27,27
85,86,350,334,-1.15216,-1.15235,-1.15236,-1.15278,1,1.49782e+06,1.22794e+06,9.73409e+06,9.68687e+06,0,0,0,0,1,1,1,1,23,13,276,260
70,74,48,73,-1.15236,-1.15221,-1.15256,-1.15175,0.0100001,947436,1.01661e+06,760312,1.38323e+06,0,0,0,0,1,1,1,1,3,1,1,1
70,74,57,55,-1.15236,-1.15221,-1.1524,-1.152,0.100001,947436,1.01661e+06,1.15359e+06,911059,0,0,0,0,1,1,1,1,3,1,1,1
70,74,71,63,-1.15236,-1.15221,-1.15259,-1.15253,0.5,947436,1.01661e+06,961774,855249,0,0,0,0,1,1,1,1,3,1,1,1
70,74,32,82,-1.15236,-1.15221,-1.1524,-1.15185,1,947436,1.01661e+06,894274,1.57439e+06,0,0,0,0,1,1,1,1,3,1,14,14
