IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
616,724,705,852,0.0717054,0.0163505,0.0665885,0.0536423,0.0100001,9.3602e+07,1.23775e+08,2.12803e+08,2.45543e+08,0,0,0,0,0,1,0,0,614,163,703,850
616,724,1254,1865,0.0717054,0.0163505,0.0162565,0.0126971,0.100001,9.3602e+07,1.23775e+08,3.01909e+08,4.05076e+08,0,0,0,0,0,1,0,0,614,163,1252,1863
616,724,4264,4982,0.0717054,0.0163505,0.00891135,0.00892837,0.5,9.3602e+07,1.23775e+08,5.75902e+08,5.67136e+08,0,0,0,0,0,1,0,0,614,163,4262,4980
616,724,7125,7202,0.0717054,0.0163505,0.00843271,0.00846555,1,9.3602e+07,1.23775e+08,7.97167e+08,7.42308e+08,0,0,0,0,0,1,0,0,614,163,7123,7200
972,811,664,795,0.0667551,0.00380763,0.0795578,0.0881655,0.0100001,4.10175e+07,3.34663e+07,4.79075e+07,5.63257e+07,0,0,0,0,0,1,0,0,970,46,662,793
972,811,901,1737,0.0667551,0.00380763,0.082291,0.0821665,0.100001,4.10175e+07,3.34663e+07,6.29086e+07,1.20965e+08,0,0,0,0,0,1,0,0,970,46,899,1735
972,811,3391,4780,0.0667551,0.00380763,0.0808002,0.0808539,0.5,4.10175e+07,3.34663e+07,2.32133e+08,3.16414e+08,0,0,0,0,0,1,0,0,970,46,3389,4778
972,811,6722,6732,0.0667551,0.00380763,0.0800983,0.0801489,1,4.10175e+07,3.34663e+07,4.61263e+08,4.38102e+08,0,0,0,0,0,1,0,0,970,46,6720,6730
771,1078,606,714,0.0713784,0.016358,0.102887,0.099839,0.0100001,2.85762e+07,3.91347e+07,3.71227e+07,4.42122e+07,0,0,0,0,0,1,0,0,769,26,604,712
771,1078,968,1414,0.0713784,0.016358,0.0755367,0.0731702,0.100001,2.85762e+07,3.91347e+07,6.33272e+07,9.14927e+07,0,0,0,0,0,1,0,0,769,26,966,1412
771,1078,2949,2948,0.0713784,0.016358,0.0675683,0.0678324,0.5,2.85762e+07,3.91347e+07,1.8276e+08,1.81235e+08,0,0,0,0,0,1,0,0,769,26,2947,2946
771,1078,3895,3916,0.0713784,0.016358,0.0658062,0.0659887,1,2.85762e+07,3.91347e+07,2.36772e+08,2.36868e+08,0,0,0,0,0,1,0,0,769,26,3893,3914
2263,963,1004,1183,0.0277182,0.00261684,0.0275967,0.0212814,0.0100001,8.14506e+07,3.11219e+07,5.85843e+07,6.36431e+07,0,0,0,0,0,1,0,0,2261,35,1002,1181
2263,963,1899,2643,0.0277182,0.00261684,0.0249187,0.0229535,0.100001,8.14506e+07,3.11219e+07,1.11112e+08,1.47798e+08,0,0,0,0,0,1,0,0,2261,35,1897,2641
2263,963,6688,8418,0.0277182,0.00261684,0.0232591,0.0232103,0.5,8.14506e+07,3.11219e+07,3.63175e+08,4.30401e+08,0,0,0,0,0,1,0,0,2261,35,6686,8416
852,795,1004,1103,0.00760767,0.0164231,0.0217347,0.0155839,0.0100001,2.75741e+07,2.37121e+07,5.63928e+07,6.29962e+07,0,0,0,0,0,1,0,0,850,279,1002,1101
