IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
862,823,791,869,0.0243513,0.0242529,0.0485965,0.023841,0.0100001,1.24184e+07,1.52924e+07,1.6881e+07,1.63203e+07,0,0,0,0,1,1,1,1,224,1,305,236
862,823,911,872,0.0243513,0.0242529,0.0289278,0.0228602,0.100001,1.24184e+07,1.52924e+07,1.5442e+07,1.43447e+07,0,0,0,0,1,1,1,1,224,1,278,216
862,823,885,950,0.0243513,0.0242529,0.0247188,0.0257463,0.5,1.24184e+07,1.52924e+07,1.3998e+07,2.24279e+07,0,0,0,0,1,1,1,1,224,1,279,406
862,823,887,861,0.0243513,0.0242529,0.0253259,0.035144,1,1.24184e+07,1.52924e+07,2.07034e+07,1.42396e+07,0,0,0,0,1,1,1,1,224,1,378,233
1110,1127,1160,1088,0.0213007,0.0336691,0.0309935,0.0227495,0.0100001,2.3243e+07,2.25099e+07,2.51569e+07,2.32444e+07,0,0,0,0,1,1,1,1,519,1,363,490
1110,1127,1185,1133,0.0213007,0.0336691,0.0339421,0.0235357,0.100001,2.3243e+07,2.25099e+07,2.60269e+07,2.75018e+07,0,0,0,0,1,1,1,1,519,1,446,534
1110,1127,1192,968,0.0213007,0.0336691,0.0288196,0.0155671,0.5,2.3243e+07,2.25099e+07,2.37624e+07,2.05113e+07,0,0,0,0,1,1,1,1,519,1,479,387
1110,1127,1164,1051,0.0213007,0.0336691,0.0244969,0.014974,1,2.3243e+07,2.25099e+07,2.40482e+07,2.11669e+07,0,0,0,0,1,1,1,1,519,1,561,472
1275,1196,1269,1269,0.00448429,0.0383805,0.00192148,0.00458504,0.0100001,2.01871e+07,1.89367e+07,2.87362e+07,2.75821e+07,0,0,0,0,1,1,1,1,492,21,639,543
1275,1196,1267,1293,0.00448429,0.0383805,0.00361381,0.00106198,0.100001,2.01871e+07,1.89367e+07,2.70846e+07,2.38236e+07,0,0,0,0,1,1,1,1,492,21,567,562
1275,1196,1280,1280,0.00448429,0.0383805,0.00226146,0.00198226,0.5,2.01871e+07,1.89367e+07,2.43574e+07,2.21882e+07,0,0,0,0,1,1,1,1,492,21,561,565
1275,1196,1313,1020,0.00448429,0.0383805,0.00327705,0.0276455,1,2.01871e+07,1.89367e+07,2.2996e+07,1.72357e+07,0,0,0,0,1,1,1,1,492,21,593,338
1316,1216,1312,1329,0.0094583,0.0403833,0.00974943,0.00888716,0.0100001,1.93195e+07,1.58615e+07,2.42768e+07,2.35509e+07,0,0,0,0,1,1,1,1,760,14,768,798
1316,1216,1305,1420,0.0094583,0.0403833,0.0104495,0.0172766,0.100001,1.93195e+07,1.58615e+07,2.17508e+07,2.84393e+07,0,0,0,0,1,1,1,1,760,14,729,1195
1316,1216,1383,1517,0.0094583,0.0403833,0.00748026,0.00148706,0.5,1.93195e+07,1.58615e+07,2.3007e+07,2.63103e+07,0,0,0,0,1,1,1,1,760,14,899,948
1316,1216,1526,1261,0.0094583,0.0403833,0.011188,0.000674235,1,1.93195e+07,1.58615e+07,2.75299e+07,1.83753e+07,0,0,0,0,1,1,1,1,760,14,1298,641
1249,1199,1246,1263,0.328225,0.302013,0.325342,0.325263,0.0100001,1.39714e+07,1.29334e+07,1.80003e+07,1.864e+07,0,0,0,0,1,1,1,1,574,20,572,572
1249,1199,1237,1261,0.328225,0.302013,0.323666,0.317964,0.100001,1.39714e+07,1.29334e+07,2.0805e+07,1.79791e+07,0,0,0,0,1,1,1,1,574,20,639,514
