IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
3988,2085,2180,2180,4.63415,4.63415,4.63415,4.63415,0.0100001,4.35848e+08,2.19122e+08,2.15811e+08,2.01398e+08,0,0,0,0,0,0,0,0,3986,2083,2178,2178
3988,2085,2180,2180,4.63415,4.63415,4.63415,4.63415,0.100001,4.35848e+08,2.19122e+08,1.91681e+08,1.7958e+08,0,0,0,0,0,0,0,0,3986,2083,2178,2178
3988,2085,2180,2180,4.63415,4.63415,4.63415,4.63415,0.5,4.35848e+08,2.19122e+08,1.33068e+08,1.21685e+08,0,0,0,0,0,0,0,0,3986,2083,2178,2178
3988,2085,2180,2180,4.63415,4.63415,4.63415,4.63415,1,4.35848e+08,2.19122e+08,1.16561e+08,1.16911e+08,0,0,0,0,0,0,0,0,3986,2083,2178,2178
3993,2088,2183,2183,4.63415,4.63415,4.63415,4.63415,0.0100001,1.87893e+08,1.01947e+08,1.04184e+08,1.0552e+08,0,0,0,0,0,0,0,0,3991,2086,2181,2181
3993,2088,2183,2183,4.63415,4.63415,4.63415,4.63415,0.100001,1.87893e+08,1.01947e+08,1.11861e+08,1.0257e+08,0,0,0,0,0,0,0,0,3991,2086,2181,2181
3993,2088,2183,2183,4.63415,4.63415,4.63415,4.63415,0.5,1.87893e+08,1.01947e+08,9.99601e+07,1.05654e+08,0,0,0,0,0,0,0,0,3991,2086,2181,2181
3993,2088,2183,2183,4.63415,4.63415,4.63415,4.63415,1,1.87893e+08,1.01947e+08,1.09115e+08,1.11765e+08,0,0,0,0,0,0,0,0,3991,2086,2181,2181
3937,2058,2152,2152,4.63415,4.63415,4.63415,4.63415,0.0100001,1.84319e+08,9.69969e+07,1.02002e+08,1.08149e+08,0,0,0,0,0,0,0,0,3935,2056,2150,2150
3937,2058,2152,2152,4.63415,4.63415,4.63415,4.63415,0.100001,1.84319e+08,9.69969e+07,1.185e+08,1.19276e+08,0,0,0,0,0,0,0,0,3935,2056,2150,2150
3937,2058,2152,2152,4.63415,4.63415,4.63415,4.63415,0.5,1.84319e+08,9.69969e+07,8.46637e+07,6.73359e+07,0,0,0,0,0,0,0,0,3935,2056,2150,2150
3937,2058,2152,2152,4.63415,4.63415,4.63415,4.63415,1,1.84319e+08,9.69969e+07,6.0958e+07,6.65263e+07,0,0,0,0,0,0,0,0,3935,2056,2150,2150
3822,1998,2089,2089,4.63415,4.63415,4.63415,4.63415,0.0100001,1.06969e+08,5.40661e+07,6.0165e+07,5.78964e+07,0,0,0,0,0,0,0,0,3820,1996,2087,2087
3822,1998,2089,2089,4.63415,4.63415,4.63415,4.63415,0.100001,1.06969e+08,5.40661e+07,5.86741e+07,6.19737e+07,0,0,0,0,0,0,0,0,3820,1996,2087,2087
3822,1998,2089,2089,4.63415,4.63415,4.63415,4.63415,0.5,1.06969e+08,5.40661e+07,5.90205e+07,6.30142e+07,0,0,0,0,0,0,0,0,3820,1996,2087,2087
3822,1998,2089,2089,4.63415,4.63415,4.63415,4.63415,1,1.06969e+08,5.40661e+07,5.99808e+07,6.13343e+07,0,0,0,0,0,0,0,0,3820,1996,2087,2087
3279,1715,1793,1793,4.63415,4.63415,4.63415,4.63415,0.0100001,8.72923e+07,4.36271e+07,5.17365e+07,5.33882e+07,0,0,0,0,0,0,0,0,3277,1713,1791,1791
3279,1715,1793,1793,4.63415,4.63415,4.63415,4.63415,0.100001,8.72923e+07,4.36271e+07,4.89008e+07,5.20518e+07,0,0,0,0,0,0,0,0,3277,1713,1791,1791
3279,1715,1793,1793,4.63415,4.63415,4.63415,4.63415,0.5,8.72923e+07,4.36271e+07,4.97405e+07,5.2159e+07,0,0,0,0,0,0,0,0,3277,1713,1791,1791
3279,1715,1793,1793,4.63415,4.63415,4.63415,4.63415,1,8.72923e+07,4.36271e+07,5.46361e+07,5.22033e+07,0,0,0,0,0,0,0,0,3277,1713,1791,1791
3775,1974,2063,2063,4.63415,4.63415,4.63415,4.63415,0.0100001,9.8562e+07,5.20149e+07,6.45185e+07,5.65276e+07,0,0,0,0,0,0,0,0,3773,1972,2061,2061
3775,1974,2063,2063,4.63415,4.63415,4.63415,4.63415,0.100001,9.8562e+07,5.20149e+07,5.84268e+07,5.58121e+07,0,0,0,0,0,0,0,0,3773,1972,2061,2061
3775,1974,2063,2063,4.63415,4.63415,4.63415,4.63415,0.5,9.8562e+07,5.20149e+07,5.69562e+07,5.68003e+07,0,0,0,0,0,0,0,0,3773,1972,2061,2061
3775,1974,2063,2063,4.63415,4.63415,4.63415,4.63415,1,9.8562e+07,5.20149e+07,5.68251e+07,5.71211e+07,0,0,0,0,0,0,0,0,3773,1972,2061,2061
4047,2116,2212,2212,4.63415,4.63415,4.63415,4.63415,0.0100001,9.83276e+07,4.89965e+07,6.01732e+07,5.75928e+07,0,0,0,0,0,0,0,0,4045,2114,2210,2210
4047,2116,2212,2212,4.63415,4.63415,4.63415,4.63415,0.100001,9.83276e+07,4.89965e+07,5.70401e+07,5.87465e+07,0,0,0,0,0,0,0,0,4045,2114,2210,2210
4047,2116,2212,2212,4.63415,4.63415,4.63415,4.63415,0.5,9.83276e+07,4.89965e+07,6.04531e+07,6.03432e+07,0,0,0,0,0,0,0,0,4045,2114,2210,2210
4047,2116,2212,2212,4.63415,4.63415,4.63415,4.63415,1,9.83276e+07,4.89965e+07,6.0069e+07,5.75888e+07,0,0,0,0,0,0,0,0,4045,2114,2210,2210
3602,1883,1969,1969,4.63415,4.63415,4.63415,4.63415,0.0100001,8.44679e+07,4.57715e+07,5.31126e+07,5.07907e+07,0,0,0,0,0,0,0,0,3600,1881,1967,1967
3602,1883,1969,1969,4.63415,4.63415,4.63415,4.63415,0.100001,8.44679e+07,4.57715e+07,5.22565e+07,5.12621e+07,0,0,0,0,0,0,0,0,3600,1881,1967,1967
3602,1883,1969,1969,4.63415,4.63415,4.63415,4.63415,0.5,8.44679e+07,4.57715e+07,5.06401e+07,5.00739e+07,0,0,0,0,0,0,0,0,3600,1881,1967,1967
3602,1883,1969,1969,4.63415,4.63415,4.63415,4.63415,1,8.44679e+07,4.57715e+07,4.63217e+07,4.96821e+07,0,0,0,0,0,0,0,0,3600,1881,1967,1967
3747,1959,2048,2048,4.63415,4.63415,4.63415,4.63415,0.0100001,8.57335e+07,4.1804e+07,4.94321e+07,5.00861e+07,0,0,0,0,0,0,0,0,3745,1957,2046,2046
3747,1959,2048,2048,4.63415,4.63415,4.63415,4.63415,0.100001,8.57335e+07,4.1804e+07,4.5764e+07,5.01451e+07,0,0,0,0,0,0,0,0,3745,1957,2046,2046
3747,1959,2048,2048,4.63415,4.63415,4.63415,4.63415,0.5,8.57335e+07,4.1804e+07,4.79132e+07,4.75409e+07,0,0,0,0,0,0,0,0,3745,1957,2046,2046
3747,1959,2048,2048,4.63415,4.63415,4.63415,4.63415,1,8.57335e+07,4.1804e+07,4.82533e+07,4.8532e+07,0,0,0,0,0,0,0,0,3745,1957,2046,2046
