IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
3521,1927,2089,2089,6.13514,6.13514,6.13514,6.13514,0.0100001,1.81601e+08,1.09166e+08,1.34136e+08,1.33839e+08,0,0,0,0,0,0,0,0,3519,1925,2087,2087
3521,1927,2089,2089,6.13514,6.13514,6.13514,6.13514,0.100001,1.81601e+08,1.09166e+08,1.17379e+08,1.03702e+08,0,0,0,0,0,0,0,0,3519,1925,2087,2087
3521,1927,2089,2089,6.13514,6.13514,6.13514,6.13514,0.5,1.81601e+08,1.09166e+08,1.03268e+08,1.06244e+08,0,0,0,0,0,0,0,0,3519,1925,2087,2087
3521,1927,2089,2089,6.13514,6.13514,6.13514,6.13514,1,1.81601e+08,1.09166e+08,1.04239e+08,9.9108e+07,0,0,0,0,0,0,0,0,3519,1925,2087,2087
3789,2074,2247,2247,6.13514,6.13514,6.13514,6.13514,0.0100001,1.53843e+08,8.2806e+07,9.44259e+07,6.92631e+07,0,0,0,0,0,0,0,0,3787,2072,2245,2245
3789,2074,2247,2247,6.13514,6.13514,6.13514,6.13514,0.100001,1.53843e+08,8.2806e+07,6.74996e+07,7.97966e+07,0,0,0,0,0,0,0,0,3787,2072,2245,2245
3789,2074,2247,2247,6.13514,6.13514,6.13514,6.13514,0.5,1.53843e+08,8.2806e+07,8.5077e+07,7.07696e+07,0,0,0,0,0,0,0,0,3787,2072,2245,2245
3789,2074,2247,2247,6.13514,6.13514,6.13514,6.13514,1,1.53843e+08,8.2806e+07,7.93637e+07,7.15905e+07,0,0,0,0,0,0,0,0,3787,2072,2245,2245
3540,1938,2100,2100,6.13514,6.13514,6.13514,6.13514,0.0100001,1.09691e+08,7.25854e+07,6.56005e+07,7.0577e+07,0,0,0,0,0,0,0,0,3538,1936,2098,2098
3540,1938,2100,2100,6.13514,6.13514,6.13514,6.13514,0.100001,1.09691e+08,7.25854e+07,7.28046e+07,6.47956e+07,0,0,0,0,0,0,0,0,3538,1936,2098,2098
