IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
984,1016,984,984,17.6138,17.6174,17.5754,17.5853,0.5,2.04043e+08,2.03856e+08,3.49627e+08,3.40615e+08,0,0,0,0,0,0,0,0,982,1014,982,982
984,1016,984,984,17.6138,17.6174,17.6044,17.6075,1,2.04043e+08,2.03856e+08,3.46796e+08,3.42151e+08,0,0,0,0,0,0,0,0,982,1014,982,982
935,966,935,935,17.3118,17.3122,17.3008,17.3057,0.5,1.72696e+08,1.78511e+08,3.12221e+08,3.12829e+08,0,0,0,0,0,0,0,0,933,964,933,933
935,966,935,935,17.3118,17.3122,17.3073,17.3086,1,1.72696e+08,1.78511e+08,3.12757e+08,3.11803e+08,0,0,0,0,0,0,0,0,933,964,933,933
1027,1060,1027,1027,18.1091,18.1139,17.4754,17.5309,1,1.89465e+08,1.95797e+08,2.80234e+08,2.87156e+08,0,0,0,0,0,0,1,1,1025,1058,652,699
940,950,944,1108,17.8282,17.8294,17.0664,16.9935,0.100001,1.60731e+08,1.6335e+08,1.78167e+08,2.12338e+08,0,0,0,0,0,0,1,1,303,313,130,174
940,950,940,940,17.8282,17.8294,17.8189,17.8208,0.5,1.60731e+08,1.6335e+08,2.06753e+08,2.06091e+08,0,0,0,0,0,0,0,0,303,313,303,303
940,950,940,940,17.8282,17.8294,17.8241,17.825,1,1.60731e+08,1.6335e+08,2.0638e+08,2.06375e+08,0,0,0,0,0,0,0,0,303,313,303,303
905,931,905,905,17.2921,17.2926,17.2881,17.2889,1,1.65169e+08,1.69724e+08,2.81343e+08,2.80709e+08,0,0,0,0,0,0,0,0,783,809,783,783
973,1001,973,973,17.7948,17.8067,17.7503,17.7675,0.5,1.78482e+08,1.83479e+08,3.22503e+08,3.23152e+08,0,0,0,0,0,0,0,0,971,999,971,971
973,1001,973,974,17.7948,17.8067,17.7931,17.7969,1,1.78482e+08,1.83479e+08,3.22837e+08,3.22791e+08,0,0,0,0,0,0,0,0,971,999,971,972
849,876,849,849,17.64,17.6452,17.5765,17.5993,0.5,1.55287e+08,1.60044e+08,2.81086e+08,2.80649e+08,0,0,0,0,0,0,0,0,847,874,847,847
849,876,848,849,17.64,17.6452,17.626,17.6322,1,1.55287e+08,1.60044e+08,2.80544e+08,2.80605e+08,0,0,0,0,0,0,0,0,847,874,846,847
996,1025,996,996,17.2799,17.2872,17.2533,17.2663,0.5,1.80839e+08,1.8597e+08,3.27001e+08,3.26763e+08,0,0,0,0,0,0,0,0,994,1023,994,994
996,1025,997,997,17.2799,17.2872,17.2678,17.2734,1,1.80839e+08,1.8597e+08,3.27295e+08,3.27932e+08,0,0,0,0,0,0,0,0,994,1023,995,995
1024,1048,1024,1024,17.2036,17.2036,17.2033,17.2035,0.5,1.80223e+08,1.8455e+08,2.87325e+08,2.8694e+08,0,0,0,0,1,1,1,1,731,755,731,731
1024,1048,1024,1024,17.2036,17.2036,17.2035,17.2036,1,1.80223e+08,1.8455e+08,2.86472e+08,2.8657e+08,0,0,0,0,1,1,1,1,731,755,731,731
