IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
12,245,72,69,0.397873,0.30343,0.379125,0.377915,0.0100001,6.14073e+07,8.67792e+08,3.51515e+08,2.37274e+08,0,0,0,0,0,0,0,0,10,243,70,67
12,245,36,43,0.397873,0.30343,0.348225,0.388569,0.100001,6.14073e+07,8.67792e+08,9.44412e+07,1.21028e+08,0,0,0,0,0,0,0,0,10,243,34,41
12,245,26,22,0.397873,0.30343,0.392302,0.390252,0.5,6.14073e+07,8.67792e+08,7.59946e+07,6.60799e+07,0,0,0,0,0,0,0,0,10,243,24,20
12,245,60,49,0.397873,0.30343,0.420281,0.417905,1,6.14073e+07,8.67792e+08,1.81591e+08,1.46343e+08,0,0,0,0,0,0,0,0,10,243,58,47
95,249,117,130,0.491264,0.412138,0.465549,0.460689,0.0100001,1.61591e+08,4.05326e+08,2.91427e+08,3.15279e+08,0,0,0,0,0,0,0,0,93,247,115,128
95,249,65,73,0.491264,0.412138,0.512647,0.492524,0.100001,1.61591e+08,4.05326e+08,1.6084e+08,1.90243e+08,0,0,0,0,0,0,0,0,93,247,63,71
95,249,26,21,0.491264,0.412138,0.520954,0.519949,0.5,1.61591e+08,4.05326e+08,5.82032e+07,2.97607e+07,0,0,0,0,0,0,0,0,93,247,24,19
95,249,70,58,0.491264,0.412138,0.51948,0.520938,1,1.61591e+08,4.05326e+08,1.06938e+08,8.69334e+07,0,0,0,0,0,0,0,0,93,247,68,56
342,228,373,369,0.286838,0.283116,0.275702,0.274946,0.0100001,2.78307e+08,1.88935e+08,5.4139e+08,5.40234e+08,0,0,0,0,0,0,0,0,340,226,371,367
342,228,369,369,0.286838,0.283116,0.271894,0.263817,0.100001,2.78307e+08,1.88935e+08,4.99165e+08,4.93934e+08,0,0,0,0,0,0,0,0,340,226,367,367
342,228,10,9,0.286838,0.283116,0.323312,0.311503,0.5,2.78307e+08,1.88935e+08,1.11889e+07,1.00607e+07,0,0,0,0,0,0,0,0,340,226,8,7
342,228,23,19,0.286838,0.283116,0.328302,0.328486,1,2.78307e+08,1.88935e+08,2.81244e+07,2.46991e+07,0,0,0,0,0,0,0,0,340,226,21,17
11,117,9,9,0.367544,0.430532,0.327391,0.337197,0.0100001,6.8069e+06,7.9161e+07,9.41761e+06,9.21271e+06,0,0,0,0,0,0,0,0,9,115,7,7
11,117,11,11,0.367544,0.430532,0.393996,0.343165,0.100001,6.8069e+06,7.9161e+07,1.22173e+07,1.33378e+07,0,0,0,0,0,0,0,0,9,115,9,9
11,117,27,22,0.367544,0.430532,0.401299,0.401565,0.5,6.8069e+06,7.9161e+07,3.07572e+07,2.68424e+07,0,0,0,0,0,0,0,0,9,115,25,20
11,117,63,51,0.367544,0.430532,0.423727,0.421117,1,6.8069e+06,7.9161e+07,7.90154e+07,6.62853e+07,0,0,0,0,0,0,0,0,9,115,61,49
117,245,137,135,0.442283,0.424954,0.442792,0.452204,0.0100001,8.12878e+07,1.71907e+08,1.67582e+08,1.57565e+08,0,0,0,0,0,0,0,0,115,243,135,133
117,245,128,111,0.442283,0.424954,0.408028,0.433357,0.100001,8.12878e+07,1.71907e+08,1.53463e+08,1.44142e+08,0,0,0,0,0,0,0,0,115,243,126,109
117,245,21,19,0.442283,0.424954,0.462877,0.462751,0.5,8.12878e+07,1.71907e+08,2.33748e+07,2.29591e+07,0,0,0,0,0,0,0,0,115,243,19,17
117,245,47,40,0.442283,0.424954,0.491785,0.483153,1,8.12878e+07,1.71907e+08,5.78807e+07,4.97677e+07,0,0,0,0,0,0,0,0,115,243,45,38
9,44,7,6,0.536925,0.452478,0.388883,0.52799,0.0100001,6.7242e+06,3.1717e+07,6.43391e+06,4.92552e+06,0,0,0,0,0,0,0,0,7,42,5,4
9,44,8,8,0.536925,0.452478,0.469414,0.453684,0.100001,6.7242e+06,3.1717e+07,7.13204e+06,7.15781e+06,0,0,0,0,0,0,0,0,7,42,6,6
9,44,17,16,0.536925,0.452478,0.516275,0.491345,0.5,6.7242e+06,3.1717e+07,1.84324e+07,1.58448e+07,0,0,0,0,0,0,0,0,7,42,15,14
9,44,40,31,0.536925,0.452478,0.535959,0.543376,1,6.7242e+06,3.1717e+07,4.46377e+07,3.39622e+07,0,0,0,0,0,0,0,0,7,42,38,29
10,203,40,38,0.425716,0.344305,0.372188,0.39469,0.0100001,5.4374e+06,1.31448e+08,4.26847e+07,3.82211e+07,0,0,0,0,0,0,0,0,8,201,38,36
10,203,8,16,0.425716,0.344305,0.487041,0.467522,0.100001,5.4374e+06,1.31448e+08,6.80258e+06,1.82432e+07,0,0,0,0,0,0,0,0,8,201,6,14
10,203,18,16,0.425716,0.344305,0.47516,0.467461,0.5,5.4374e+06,1.31448e+08,2.00866e+07,1.52657e+07,0,0,0,0,0,0,0,0,8,201,16,14
10,203,40,33,0.425716,0.344305,0.487201,0.492636,1,5.4374e+06,1.31448e+08,4.24616e+07,3.43745e+07,0,0,0,0,0,0,0,0,8,201,38,31
110,112,154,147,0.53358,0.50893,0.505173,0.516369,0.0100001,7.42934e+07,7.01602e+07,1.80505e+08,1.72681e+08,0,0,0,0,0,0,0,0,108,110,152,145
110,112,96,89,0.53358,0.50893,0.494327,0.530457,0.100001,7.42934e+07,7.01602e+07,1.10816e+08,1.01466e+08,0,0,0,0,0,0,0,0,108,110,94,87
110,112,25,21,0.53358,0.50893,0.510473,0.507349,0.5,7.42934e+07,7.01602e+07,2.79515e+07,2.52454e+07,0,0,0,0,0,0,0,0,108,110,23,19
110,112,68,56,0.53358,0.50893,0.519112,0.52186,1,7.42934e+07,7.01602e+07,8.38262e+07,6.36657e+07,0,0,0,0,0,0,0,0,108,110,66,54
9,167,7,6,0.414609,0.439225,0.383454,0.480033,0.0100001,5.61269e+06,1.17014e+08,6.70846e+06,5.02363e+06,0,0,0,0,0,0,0,0,7,165,5,4
9,167,9,8,0.414609,0.439225,0.473465,0.439739,0.100001,5.61269e+06,1.17014e+08,9.62039e+06,8.23513e+06,0,0,0,0,0,0,0,0,7,165,7,6
9,167,21,18,0.414609,0.439225,0.470271,0.464138,0.5,5.61269e+06,1.17014e+08,2.28113e+07,1.92867e+07,0,0,0,0,0,0,0,0,7,165,19,16
9,167,53,42,0.414609,0.439225,0.478723,0.474439,1,5.61269e+06,1.17014e+08,5.81894e+07,4.34405e+07,0,0,0,0,0,0,0,0,7,165,51,40
290,274,329,325,0.411838,0.259847,0.332014,0.346784,0.0100001,1.79269e+08,1.77256e+08,3.60683e+08,3.72928e+08,0,0,0,0,0,0,0,0,288,272,327,323
290,274,292,314,0.411838,0.259847,0.384166,0.355514,0.100001,1.79269e+08,1.77256e+08,3.35297e+08,3.63632e+08,0,0,0,0,0,0,0,0,288,272,290,312
290,274,13,12,0.411838,0.259847,0.441005,0.43417,0.5,1.79269e+08,1.77256e+08,1.34361e+07,1.34002e+07,0,0,0,0,0,0,0,0,288,272,11,10
290,274,29,24,0.411838,0.259847,0.471898,0.480463,1,1.79269e+08,1.77256e+08,3.01864e+07,2.68882e+07,0,0,0,0,0,0,0,0,288,272,27,22
87,229,130,129,0.451976,0.239623,0.486113,0.489509,0.0100001,5.82461e+07,1.39873e+08,1.47144e+08,1.38144e+08,0,0,0,0,0,0,0,0,85,227,128,127
87,229,101,106,0.451976,0.239623,0.464974,0.434131,0.100001,5.82461e+07,1.39873e+08,1.07357e+08,1.15122e+08,0,0,0,0,0,0,0,0,85,227,99,104
87,229,13,12,0.451976,0.239623,0.534072,0.522535,0.5,5.82461e+07,1.39873e+08,1.33849e+07,1.2245e+07,0,0,0,0,0,0,0,0,85,227,11,10
87,229,29,24,0.451976,0.239623,0.560318,0.563551,1,5.82461e+07,1.39873e+08,3.08344e+07,2.51273e+07,0,0,0,0,0,0,0,0,85,227,27,22
161,240,191,186,0.440724,0.327825,0.410592,0.416267,0.0100001,9.59053e+07,1.42925e+08,2.03819e+08,1.98458e+08,0,0,0,0,0,0,0,0,159,238,189,184
161,240,142,146,0.440724,0.327825,0.400085,0.408448,0.100001,9.59053e+07,1.42925e+08,1.51675e+08,1.55906e+08,0,0,0,0,0,0,0,0,159,238,140,144
161,240,20,16,0.440724,0.327825,0.45252,0.466709,0.5,9.59053e+07,1.42925e+08,2.00297e+07,1.56577e+07,0,0,0,0,0,0,0,0,159,238,18,14
161,240,50,42,0.440724,0.327825,0.463332,0.461298,1,9.59053e+07,1.42925e+08,5.23629e+07,4.38339e+07,0,0,0,0,0,0,0,0,159,238,48,40
8,151,7,7,0.406862,0.366667,0.400519,0.401234,0.0100001,4.16379e+06,9.00332e+07,5.93573e+06,5.91218e+06,0,0,0,0,0,0,0,0,6,149,5,5
8,151,9,8,0.406862,0.366667,0.386244,0.43377,0.100001,4.16379e+06,9.00332e+07,8.10787e+06,7.01992e+06,0,0,0,0,0,0,0,0,6,149,7,6
8,151,20,17,0.406862,0.366667,0.424462,0.421058,0.5,4.16379e+06,9.00332e+07,1.99101e+07,1.66608e+07,0,0,0,0,0,0,0,0,6,149,18,15
8,151,48,42,0.406862,0.366667,0.434245,0.427236,1,4.16379e+06,9.00332e+07,5.02873e+07,4.34821e+07,0,0,0,0,0,0,0,0,6,149,46,40
39,67,100,102,0.236147,0.215653,0.255821,0.256315,0.0100001,2.2708e+07,3.94716e+07,1.05859e+08,1.08158e+08,0,0,0,0,0,0,0,0,37,65,98,100
39,67,38,53,0.236147,0.215653,0.238235,0.2219,0.100001,2.2708e+07,3.94716e+07,3.93377e+07,5.54519e+07,0,0,0,0,0,0,0,0,37,65,36,51
39,67,5,4,0.236147,0.215653,0.25883,0.273703,0.5,2.2708e+07,3.94716e+07,3.78811e+06,2.71557e+06,0,0,0,0,0,0,0,0,37,65,3,2
39,67,7,6,0.236147,0.215653,0.291809,0.293151,1,2.2708e+07,3.94716e+07,5.92566e+06,4.8544e+06,0,0,0,0,0,0,0,0,37,65,5,4
33,187,81,82,0.47661,0.35498,0.473104,0.444624,0.0100001,1.90971e+07,1.11565e+08,8.55816e+07,8.66493e+07,0,0,0,0,0,0,0,0,31,185,79,80
33,187,51,54,0.47661,0.35498,0.417639,0.410216,0.100001,1.90971e+07,1.11565e+08,5.3415e+07,5.67001e+07,0,0,0,0,0,0,0,0,31,185,49,52
33,187,16,14,0.47661,0.35498,0.463721,0.483603,0.5,1.90971e+07,1.11565e+08,1.57812e+07,1.35101e+07,0,0,0,0,0,0,0,0,31,185,14,12
33,187,40,33,0.47661,0.35498,0.483288,0.486086,1,1.90971e+07,1.11565e+08,4.14008e+07,3.39781e+07,0,0,0,0,0,0,0,0,31,185,38,31
3,39,3,3,0.348432,0.341828,0.316848,0.320756,0.0100001,1.16046e+06,2.2773e+07,1.63897e+06,1.62561e+06,0,0,0,0,0,0,0,0,1,37,1,1
3,39,3,3,0.348432,0.341828,0.336571,0.351281,0.100001,1.16046e+06,2.2773e+07,1.63625e+06,1.63099e+06,0,0,0,0,0,0,0,0,1,37,1,1
3,39,5,4,0.348432,0.341828,0.358015,0.376124,0.5,1.16046e+06,2.2773e+07,3.76678e+06,2.69997e+06,0,0,0,0,0,0,0,0,1,37,3,2
3,39,8,7,0.348432,0.341828,0.380844,0.383146,1,1.16046e+06,2.2773e+07,6.99277e+06,5.91415e+06,0,0,0,0,0,0,0,0,1,37,6,5
52,187,73,69,0.515742,0.507369,0.552338,0.563326,0.0100001,3.04977e+07,1.113e+08,7.68056e+07,7.24617e+07,0,0,0,0,0,0,0,0,50,185,71,67
52,187,38,28,0.515742,0.507369,0.51532,0.547255,0.100001,3.04977e+07,1.113e+08,3.91821e+07,2.85128e+07,0,0,0,0,0,0,0,0,50,185,36,26
