IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
264,190,224,219,0.0536445,0.0582162,0.0521088,0.0518733,0.0100001,9.95133e+07,8.20392e+07,1.54493e+08,1.42734e+08,0,0,0,0,0,0,0,0,262,188,222,217
264,190,256,239,0.0536445,0.0582162,0.0533053,0.0529921,0.100001,9.95133e+07,8.20392e+07,1.53775e+08,1.32917e+08,0,0,0,0,0,0,0,0,262,188,254,237
264,190,348,358,0.0536445,0.0582162,0.0542876,0.0543663,0.5,9.95133e+07,8.20392e+07,1.78935e+08,1.73721e+08,0,0,0,0,0,0,0,0,262,188,346,356
264,190,7,8,0.0536445,0.0582162,0.0512486,0.036442,1,9.95133e+07,8.20392e+07,3.01026e+06,3.219e+06,0,0,0,0,0,0,0,0,262,188,5,6
352,247,330,331,0.0608899,0.209312,0.0705969,0.0748529,0.0100001,9.75856e+07,6.54255e+07,1.38142e+08,1.17381e+08,0,0,0,0,1,0,0,0,347,245,325,328
352,247,341,336,0.0608899,0.209312,0.0706184,0.0706328,0.100001,9.75856e+07,6.54255e+07,9.07669e+07,9.38389e+07,0,0,0,0,1,0,0,0,347,245,336,333
352,247,497,482,0.0608899,0.209312,0.071619,0.0712068,0.5,9.75856e+07,6.54255e+07,1.44351e+08,1.27888e+08,0,0,0,0,1,0,0,0,347,245,494,478
352,247,24,10,0.0608899,0.209312,0.0461513,0.0955592,1,9.75856e+07,6.54255e+07,3.35342e+06,1.47845e+06,0,0,0,0,1,0,0,0,347,245,8,7
319,209,244,234,0.0755412,0.0698363,0.069837,0.0414912,0.0100001,5.67931e+07,3.1297e+07,6.47282e+07,6.28896e+07,0,0,0,0,0,0,0,1,314,205,240,230
319,209,256,254,0.0755412,0.0698363,0.00627213,0.0732173,0.100001,5.67931e+07,3.1297e+07,7.3551e+07,6.79266e+07,0,0,0,0,0,0,1,0,314,205,252,251
319,209,92,173,0.0755412,0.0698363,0.0544433,0.0709221,0.5,5.67931e+07,3.1297e+07,1.76651e+07,4.11124e+07,0,0,0,0,0,0,1,0,314,205,21,131
319,209,45,43,0.0755412,0.0698363,0.0786696,0.0446936,1,5.67931e+07,3.1297e+07,5.90103e+06,7.28365e+06,0,0,0,0,0,0,0,0,314,205,8,8
263,213,229,229,0.0659755,0.0746588,0.0654673,0.0655027,0.0100001,4.55203e+07,3.81199e+07,6.55227e+07,6.24308e+07,0,0,0,0,0,0,0,0,261,211,227,227
263,213,240,241,0.0659755,0.0746588,0.0653589,0.0653647,0.100001,4.55203e+07,3.81199e+07,6.83383e+07,6.42123e+07,0,0,0,0,0,0,0,0,261,211,238,239
263,213,307,323,0.0659755,0.0746588,0.0663607,0.0663369,0.5,4.55203e+07,3.81199e+07,7.65356e+07,8.4787e+07,0,0,0,0,0,0,0,0,261,211,305,321
263,213,217,324,0.0659755,0.0746588,0.0668353,0.0665427,1,4.55203e+07,3.81199e+07,6.20722e+07,9.12634e+07,0,0,0,0,0,0,0,0,261,211,215,322
210,31,191,165,0.0767908,0.00659441,0.0679902,0.0736224,0.0100001,2.51147e+07,5.35863e+06,4.92314e+07,4.97487e+07,0,0,0,0,0,1,1,0,206,28,186,160
