IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
617,67,471,2143,9.17099e+11,9.15774e+11,9.14229e+11,0.00092856,0.0100001,3.89307e+06,2.91295e+06,5.22481e+06,1.10861e+07,-2147483648,-2147483648,-2147483648,0,1,0,1,1,613,63,464,418
617,67,277,1898,9.17099e+11,9.15774e+11,9.7198e+11,0.247957,0.100001,3.89307e+06,2.91295e+06,2.54428e+06,1.23314e+07,-2147483648,-2147483648,-2147483648,0,1,0,1,1,613,63,272,451
617,67,1962,2001,9.17099e+11,9.15774e+11,0.165569,0.0286994,0.5,3.89307e+06,2.91295e+06,1.61729e+07,1.293e+07,-2147483648,-2147483648,0,0,1,0,1,1,613,63,494,443
617,67,511,1901,9.17099e+11,9.15774e+11,9.30531e+11,0.200427,1,3.89307e+06,2.91295e+06,2.9437e+06,1.19251e+07,-2147483648,-2147483648,-2147483648,0,1,0,1,1,613,63,505,442
464,143,101,2145,9.14948e+11,8.68339e+11,9.71141e+11,0.000787314,0.0100001,3.18569e+06,2.50882e+06,1.21375e+06,1.50517e+07,-2147483648,-2147483648,-2147483648,0,1,1,1,1,449,76,95,410
464,143,2410,1936,9.14948e+11,8.68339e+11,0.00458657,0.014721,0.100001,3.18569e+06,2.50882e+06,1.87295e+07,1.38085e+07,-2147483648,-2147483648,0,0,1,1,1,1,449,76,764,345
464,143,822,2312,9.14948e+11,8.68339e+11,8.91294e+11,0.00992463,0.5,3.18569e+06,2.50882e+06,8.77339e+06,2.49142e+07,-2147483648,-2147483648,-2147483648,0,1,1,1,1,449,76,815,703
464,143,1909,858,9.14948e+11,8.68339e+11,0.214685,9.00003e+11,1,3.18569e+06,2.50882e+06,1.76163e+07,1.22964e+07,-2147483648,-2147483648,0,-2147483648,1,1,1,1,449,76,453,851
2080,1645,2149,1874,0.00413977,0.00745022,0.000700624,0.178845,0.0100001,1.41877e+07,1.16153e+07,1.66287e+07,1.38076e+07,0,0,0,0,1,1,1,1,430,27,411,411
2080,1645,1935,238,0.00413977,0.00745022,0.0454849,9.72482e+11,0.100001,1.41877e+07,1.16153e+07,1.9481e+07,3.10708e+06,0,0,0,-2147483648,1,1,1,1,430,27,404,235
2080,1645,436,442,0.00413977,0.00745022,9.17293e+11,8.81687e+11,0.5,1.41877e+07,1.16153e+07,5.07887e+06,5.25648e+06,0,0,-2147483648,-2147483648,1,1,1,1,430,27,431,436
2080,1645,1900,1952,0.00413977,0.00745022,0.141247,0.04595,1,1.41877e+07,1.16153e+07,1.51443e+07,1.5003e+07,0,0,0,0,1,1,1,1,430,27,425,422
2054,13,256,256,0.0141822,8.76006e+11,9.71832e+11,9.71866e+11,0.0100001,1.18379e+07,617779,2.58334e+06,2.67167e+06,0,-2147483648,-2147483648,-2147483648,1,0,1,1,465,9,252,252
2054,13,256,257,0.0141822,8.76006e+11,9.72285e+11,9.72525e+11,0.100001,1.18379e+07,617779,3.09083e+06,3.59452e+06,0,-2147483648,-2147483648,-2147483648,1,0,1,1,465,9,252,253
2054,13,1878,331,0.0141822,8.76006e+11,0.228183,9.05263e+11,0.5,1.18379e+07,617779,1.41596e+07,3.42476e+06,0,-2147483648,0,-2147483648,1,0,1,1,465,9,427,325
2054,13,1998,490,0.0141822,8.76006e+11,0.030038,8.58983e+11,1,1.18379e+07,617779,1.46433e+07,5.22537e+06,0,-2147483648,0,-2147483648,1,0,1,1,465,9,446,482
1951,70,1846,1812,0.00153148,9.16313e+11,0.0353202,0.214129,0.0100001,1.23574e+07,4.27784e+06,1.11215e+07,1.24453e+07,0,-2147483648,0,0,1,0,1,1,252,66,302,358
1951,70,416,420,0.00153148,9.16313e+11,9.3164e+11,9.16338e+11,0.100001,1.23574e+07,4.27784e+06,4.46514e+06,4.15735e+06,0,-2147483648,-2147483648,-2147483648,1,0,1,1,252,66,411,415
1951,70,2091,576,0.00153148,9.16313e+11,0.00966015,9.09719e+11,0.5,1.23574e+07,4.27784e+06,1.31504e+07,5.50137e+06,0,-2147483648,0,-2147483648,1,0,1,1,252,66,483,569
1951,70,313,581,0.00153148,9.16313e+11,9.28856e+11,9.14766e+11,1,1.23574e+07,4.27784e+06,2.25328e+06,4.70249e+06,0,-2147483648,-2147483648,-2147483648,1,0,1,1,252,66,305,574
1815,23,178,178,0.247531,9.32581e+11,9.71329e+11,9.71376e+11,0.0100001,1.02534e+07,1.24562e+06,1.66426e+06,1.82303e+06,0,-2147483648,-2147483648,-2147483648,1,0,1,1,368,19,174,174
1815,23,176,175,0.247531,9.32581e+11,9.72089e+11,9.7248e+11,0.100001,1.02534e+07,1.24562e+06,2.30119e+06,2.2604e+06,0,-2147483648,-2147483648,-2147483648,1,0,1,1,368,19,172,171
1815,23,1852,398,0.247531,9.32581e+11,0.129807,8.86758e+11,0.5,1.02534e+07,1.24562e+06,1.19588e+07,3.9052e+06,0,-2147483648,0,-2147483648,1,0,1,1,368,19,373,392
1815,23,1822,1868,0.247531,9.32581e+11,0.247095,0.067253,1,1.02534e+07,1.24562e+06,1.08873e+07,1.17852e+07,0,-2147483648,0,0,1,0,1,1,368,19,375,356
2257,46,2465,2348,0.242766,9.46e+11,0.00752441,0.0580392,0.0100001,1.22658e+07,911649,1.78677e+07,1.65071e+07,0,-2147483648,0,0,1,1,1,1,810,20,845,829
2257,46,2395,840,0.242766,9.46e+11,0.010556,9.04481e+11,0.100001,1.22658e+07,911649,1.56744e+07,7.633e+06,0,-2147483648,0,-2147483648,1,1,1,1,810,20,791,833
2257,46,882,2455,0.242766,9.46e+11,9.32212e+11,0.0192959,0.5,1.22658e+07,911649,7.20882e+06,1.79778e+07,0,-2147483648,-2147483648,0,1,1,1,1,810,20,877,881
2257,46,887,2349,0.242766,9.46e+11,9.29746e+11,0.24305,1,1.22658e+07,911649,9.34694e+06,1.70069e+07,0,-2147483648,-2147483648,0,1,1,1,1,810,20,883,902
1934,11,2422,460,0.213958,9.45665e+11,7.96411e-06,9.01997e+11,0.0100001,6.1508e+06,604146,1.08676e+07,3.52276e+06,0,-2147483648,0,-2147483648,1,0,1,1,480,8,463,454
1934,11,1949,1967,0.213958,9.45665e+11,0.0753919,0.00146548,0.100001,6.1508e+06,604146,1.08568e+07,1.18611e+07,0,-2147483648,0,0,1,0,1,1,480,8,444,266
1934,11,474,1896,0.213958,9.45665e+11,9.12994e+11,0.242581,0.5,6.1508e+06,604146,3.67652e+06,9.75817e+06,0,-2147483648,-2147483648,0,1,0,1,1,480,8,469,448
1934,11,2321,2094,0.213958,9.45665e+11,7.05315e-05,0.000128871,1,6.1508e+06,604146,1.13625e+07,1.12333e+07,0,-2147483648,0,0,1,0,1,1,480,8,470,272
2402,21,552,539,0.00131392,9.65278e+11,9.64366e+11,9.71477e+11,0.0100001,1.23231e+07,162442,3.164e+06,4.43378e+06,0,-2147483648,-2147483648,-2147483648,1,1,1,1,695,16,547,535
2402,21,2511,2155,0.00131392,9.65278e+11,2.86295e-05,0.210434,0.100001,1.23231e+07,162442,1.40641e+07,1.44498e+07,0,-2147483648,0,0,1,1,1,1,695,16,614,700
2402,21,551,2205,0.00131392,9.65278e+11,9.741e+11,0.00510502,0.5,1.23231e+07,162442,4.48712e+06,1.3126e+07,0,-2147483648,-2147483648,0,1,1,1,1,695,16,547,565
2402,21,2173,2137,0.00131392,9.65278e+11,0.238203,0.0468212,1,1.23231e+07,162442,1.14158e+07,1.42385e+07,0,-2147483648,0,0,1,1,1,1,695,16,724,607
2177,27,638,2278,0.0350646,9.62066e+11,9.71431e+11,0.149181,0.0100001,1.08272e+07,356858,3.28228e+06,1.06182e+07,0,-2147483648,-2147483648,0,1,1,1,1,630,22,626,797
2177,27,2544,650,0.0350646,9.62066e+11,0.00101074,9.7249e+11,0.100001,1.08272e+07,356858,1.55665e+07,6.29952e+06,0,-2147483648,0,-2147483648,1,1,1,1,630,22,817,640
2177,27,2605,2442,0.0350646,9.62066e+11,0.00325421,0.0245891,0.5,1.08272e+07,356858,1.36891e+07,1.74249e+07,0,-2147483648,0,0,1,1,1,1,630,22,924,876
2177,27,2312,661,0.0350646,9.62066e+11,0.223478,9.15835e+11,1,1.08272e+07,356858,1.10897e+07,5.40634e+06,0,-2147483648,0,-2147483648,1,1,1,1,630,22,853,652
139,11,139,139,9.71476e+11,9.63409e+11,9.71514e+11,9.71541e+11,0.0100001,411641,78893,884808,880223,-2147483648,-2147483648,-2147483648,-2147483648,1,1,1,1,135,7,135,135
139,11,1875,322,9.71476e+11,9.63409e+11,0.0292814,9.02536e+11,0.100001,411641,78893,1.00053e+07,1.87579e+06,-2147483648,-2147483648,0,-2147483648,1,1,1,1,135,7,322,316
139,11,1639,349,9.71476e+11,9.63409e+11,0.0841382,9.21693e+11,0.5,411641,78893,7.5251e+06,2.16569e+06,-2147483648,-2147483648,0,-2147483648,1,1,1,1,135,7,138,344
139,11,1838,2280,9.71476e+11,9.63409e+11,0.0943528,1.49216e-05,1,411641,78893,1.22815e+07,1.38061e+07,-2147483648,-2147483648,0,0,1,1,1,1,135,7,343,352
62,9,62,62,9.71784e+11,9.28461e+11,9.71828e+11,9.71861e+11,0.0100001,161739,45433,418270,382157,-2147483648,-2147483648,-2147483648,-2147483648,1,0,1,1,58,6,58,58
62,9,62,62,9.71784e+11,9.28461e+11,9.72298e+11,9.72556e+11,0.100001,161739,45433,388017,362249,-2147483648,-2147483648,-2147483648,-2147483648,1,0,1,1,58,6,58,58
62,9,2208,1580,9.71784e+11,9.28461e+11,1.1966e-05,0.0586382,0.5,161739,45433,1.06753e+07,6.72683e+06,-2147483648,-2147483648,0,0,1,0,1,1,58,6,268,61
62,9,1833,268,9.71784e+11,9.28461e+11,0.0161142,8.61279e+11,1,161739,45433,7.35744e+06,1.92732e+06,-2147483648,-2147483648,0,-2147483648,1,0,1,1,58,6,250,262
1742,32,1763,120,0.219211,9.66947e+11,0.00448938,9.62045e+11,0.0100001,8.48833e+06,597374,8.90706e+06,963754,0,-2147483648,0,-2147483648,1,1,1,1,290,28,117,115
1742,32,1944,312,0.219211,9.66947e+11,0.0060368,9.24196e+11,0.100001,8.48833e+06,597374,8.71254e+06,2.23875e+06,0,-2147483648,0,-2147483648,1,1,1,1,290,28,313,306
1742,32,1758,299,0.219211,9.66947e+11,0.21058,9.11084e+11,0.5,8.48833e+06,597374,7.18772e+06,1.64216e+06,0,-2147483648,0,-2147483648,1,1,1,1,290,28,303,292
1742,32,285,1927,0.219211,9.66947e+11,9.13184e+11,0.00381143,1,8.48833e+06,597374,1.74708e+06,8.4431e+06,0,-2147483648,-2147483648,0,1,1,1,1,290,28,278,273
1793,39,211,211,0.237963,9.12464e+11,9.71188e+11,9.71301e+11,0.0100001,7.53233e+06,463977,993142,1.24193e+06,0,-2147483648,-2147483648,-2147483648,1,0,1,1,344,36,207,207
1793,39,213,213,0.237963,9.12464e+11,9.72079e+11,9.72466e+11,0.100001,7.53233e+06,463977,2.9557e+06,1.42654e+06,0,-2147483648,-2147483648,-2147483648,1,0,1,1,344,36,209,209
1793,39,216,473,0.237963,9.12464e+11,9.74077e+11,8.67202e+11,0.5,7.53233e+06,463977,1.91245e+06,3.92758e+06,0,-2147483648,-2147483648,-2147483648,1,0,1,1,344,36,212,466
1793,39,2191,1997,0.237963,9.12464e+11,1.14921e-05,0.0140221,1,7.53233e+06,463977,6.90488e+06,5.2522e+06,0,-2147483648,0,0,1,0,1,1,344,36,249,408
302,36,2016,2177,9.71231e+11,9.67408e+11,0.0280958,0.00111773,0.0100001,615892,1.26267e+06,7.67146e+06,5.72714e+06,-2147483648,-2147483648,0,0,1,1,1,1,298,32,461,462
302,36,281,282,9.71231e+11,9.67408e+11,9.71867e+11,9.72276e+11,0.100001,615892,1.26267e+06,1.61585e+06,1.92849e+06,-2147483648,-2147483648,-2147483648,-2147483648,1,1,1,1,298,32,277,278
302,36,2315,2319,9.71231e+11,9.67408e+11,0.000129802,5.09774e-06,0.5,615892,1.26267e+06,6.72136e+06,6.92549e+06,-2147483648,-2147483648,0,0,1,1,1,1,298,32,494,337
302,36,578,2451,9.71231e+11,9.67408e+11,8.63994e+11,3.38766e-06,1,615892,1.26267e+06,4.16179e+06,6.71598e+06,-2147483648,-2147483648,-2147483648,0,1,1,1,1,298,32,572,447
2708,97,978,2601,0.0150068,9.6472e+11,9.66321e+11,0.222387,0.0100001,1.00517e+07,2.84167e+06,4.36427e+06,1.00131e+07,0,-2147483648,-2147483648,0,1,1,1,1,1122,93,974,1149
2708,97,980,3008,0.0150068,9.6472e+11,9.72063e+11,2.06174e-05,0.100001,1.00517e+07,2.84167e+06,5.47156e+06,1.09583e+07,0,-2147483648,-2147483648,0,1,1,1,1,1122,93,976,1094
2708,97,2600,1188,0.0150068,9.6472e+11,0.190764,9.16586e+11,0.5,1.00517e+07,2.84167e+06,9.01641e+06,6.12875e+06,0,-2147483648,0,-2147483648,1,1,1,1,1122,93,1140,1181
2708,97,2690,2677,0.0150068,9.6472e+11,0.175516,0.247734,1,1.00517e+07,2.84167e+06,1.04623e+07,1.09032e+07,0,-2147483648,0,0,1,1,1,1,1122,93,1226,1230
1659,38,2515,457,0.247704,9.16659e+11,1.01458e-06,9.26921e+11,0.0100001,4.27504e+06,515026,5.55963e+06,3.25194e+06,0,-2147483648,0,-2147483648,1,0,1,1,212,34,451,449
1659,38,1690,367,0.247704,9.16659e+11,0.242791,9.30414e+11,0.100001,4.27504e+06,515026,6.38519e+06,2.78117e+06,0,-2147483648,0,-2147483648,1,0,1,1,212,34,238,360
1659,38,1857,2468,0.247704,9.16659e+11,0.223398,2.39582e-06,0.5,4.27504e+06,515026,6.24464e+06,1.00814e+07,0,-2147483648,0,0,1,0,1,1,212,34,402,448
1659,38,461,2498,0.247704,9.16659e+11,9.33056e+11,5.2034e-06,1,4.27504e+06,515026,2.29e+06,9.7837e+06,0,-2147483648,-2147483648,0,1,0,1,1,212,34,453,513
225,20,224,224,9.71175e+11,9.21711e+11,9.71239e+11,9.71287e+11,0.0100001,927528,1.11472e+06,2.18174e+06,2.15689e+06,-2147483648,-2147483648,-2147483648,-2147483648,1,0,1,1,221,17,220,220
225,20,214,211,9.71175e+11,9.21711e+11,9.72004e+11,9.72408e+11,0.100001,927528,1.11472e+06,1.08745e+06,756997,-2147483648,-2147483648,-2147483648,-2147483648,1,0,1,1,221,17,210,207
225,20,1946,164,9.71175e+11,9.21711e+11,0.0166513,9.22984e+11,0.5,927528,1.11472e+06,6.57222e+06,675796,-2147483648,-2147483648,0,-2147483648,1,0,1,1,221,17,365,158
225,20,274,2019,9.71175e+11,9.21711e+11,8.97441e+11,0.0122999,1,927528,1.11472e+06,980128,9.26488e+06,-2147483648,-2147483648,-2147483648,0,1,0,1,1,221,17,268,423
631,36,2345,2440,9.71788e+11,9.56367e+11,9.4002e-06,2.48432e-05,0.0100001,1.74196e+06,179752,1.02647e+07,6.31031e+06,-2147483648,-2147483648,0,0,1,1,1,1,625,32,389,532
631,36,2434,2028,9.71788e+11,9.56367e+11,0.000288817,0.247813,0.100001,1.74196e+06,179752,1.11604e+07,7.83519e+06,-2147483648,-2147483648,0,0,1,1,1,1,625,32,651,578
631,36,1907,1925,9.71788e+11,9.56367e+11,0.186092,0.152462,0.5,1.74196e+06,179752,1.00687e+07,7.62439e+06,-2147483648,-2147483648,0,0,1,1,1,1,625,32,444,449
631,36,707,2717,9.71788e+11,9.56367e+11,9.24672e+11,1.91568e-06,1,1.74196e+06,179752,4.11804e+06,1.31654e+07,-2147483648,-2147483648,-2147483648,0,1,1,1,1,625,32,697,683
2556,199,716,2221,1.99461e-05,9.41466e+11,9.26709e+11,0.0420789,0.0100001,8.98749e+06,1.87007e+06,2.96803e+06,7.26511e+06,0,-2147483648,-2147483648,0,1,1,1,1,612,133,679,654
2556,199,764,543,1.99461e-05,9.41466e+11,9.09751e+11,9.72405e+11,0.100001,8.98749e+06,1.87007e+06,4.2486e+06,2.40974e+06,0,-2147483648,-2147483648,-2147483648,1,1,1,1,612,133,725,506
2556,199,2194,2308,1.99461e-05,9.41466e+11,0.149444,0.247653,0.5,8.98749e+06,1.87007e+06,8.61181e+06,8.86469e+06,0,-2147483648,0,0,1,1,1,1,612,133,688,829
2556,199,857,2222,1.99461e-05,9.41466e+11,9.10892e+11,0.055032,1,8.98749e+06,1.87007e+06,5.10783e+06,7.87929e+06,0,-2147483648,-2147483648,0,1,1,1,1,612,133,819,667
975,106,787,568,9.71013e+11,9.14538e+11,8.96887e+11,9.71334e+11,0.0100001,2.67965e+06,1.28194e+06,4.11758e+06,3.76411e+06,-2147483648,-2147483648,-2147483648,-2147483648,1,0,1,1,922,78,744,528
975,106,794,785,9.71013e+11,9.14538e+11,9.06849e+11,9.23976e+11,0.100001,2.67965e+06,1.28194e+06,2.71601e+06,5.32491e+06,-2147483648,-2147483648,-2147483648,-2147483648,1,0,1,1,922,78,751,744
975,106,658,2721,9.71013e+11,9.14538e+11,9.09758e+11,0.00700029,0.5,2.67965e+06,1.28194e+06,3.73911e+06,8.84804e+06,-2147483648,-2147483648,-2147483648,0,1,0,1,1,922,78,612,1041
975,106,2284,2253,9.71013e+11,9.14538e+11,0.0332518,0.153395,1,2.67965e+06,1.28194e+06,1.06924e+07,7.9574e+06,-2147483648,-2147483648,0,0,1,0,1,1,922,78,699,746
1587,27,1520,9,0.247401,8.77869e+11,0.247492,9.26549e+11,0.0100001,5.16613e+06,147752,4.02737e+06,24907,0,-2147483648,0,-2147483648,1,0,1,1,139,24,72,2
1587,27,1760,2153,0.247401,8.77869e+11,0.0244771,1.01446e-05,0.100001,5.16613e+06,147752,7.09459e+06,6.71632e+06,0,-2147483648,0,0,1,0,1,1,139,24,197,204
1587,27,1801,90,0.247401,8.77869e+11,0.0398395,9.74442e+11,0.5,5.16613e+06,147752,6.57289e+06,308272,0,-2147483648,0,-2147483648,1,0,1,1,139,24,264,87
1587,27,265,2116,0.247401,8.77869e+11,9.16725e+11,1.92039e-05,1,5.16613e+06,147752,2.17991e+06,8.45982e+06,0,-2147483648,-2147483648,0,1,0,1,1,139,24,260,200
