IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
91,111,10,3,-0.964114,-0.973989,-0.992924,-1.00383,0.0100001,590026,790133,83158,7396,0,0,0,0,1,1,1,0,6,6,1,1
91,111,53,81,-0.964114,-0.973989,-0.962527,-0.961433,0.100001,590026,790133,449683,570811,0,0,0,0,1,1,1,1,6,6,2,2
91,111,93,93,-0.964114,-0.973989,-0.961846,-0.960889,0.5,590026,790133,586692,637571,0,0,0,0,1,1,1,1,6,6,5,6
91,111,88,99,-0.964114,-0.973989,-0.961264,-0.961977,1,590026,790133,698678,754373,0,0,0,0,1,1,1,1,6,6,10,10
113,165,60,57,-0.974297,-0.994066,-1.00499,-1.00471,0.0100001,595133,853541,381844,346927,0,0,0,0,1,1,1,1,8,6,1,1
113,165,66,91,-0.974297,-0.994066,-0.965486,-0.964895,0.100001,595133,853541,349940,654797,0,0,0,0,1,1,1,1,8,6,2,2
113,165,93,94,-0.974297,-0.994066,-0.962213,-0.96172,0.5,595133,853541,776125,682155,0,0,0,0,1,1,1,1,8,6,5,6
113,165,99,99,-0.974297,-0.994066,-0.961724,-0.962038,1,595133,853541,682224,611467,0,0,0,0,1,1,1,1,8,6,11,11
141,139,144,144,-0.970967,-0.969862,-0.97047,-0.970863,0.0100001,769973,742519,817177,1.15665e+06,0,0,0,0,1,1,1,1,5,3,11,11
141,139,159,91,-0.970967,-0.969862,-0.970248,-0.970323,0.100001,769973,742519,1.43313e+06,485733,0,0,0,0,1,1,1,1,5,3,26,2
141,139,115,122,-0.970967,-0.969862,-0.97385,-0.973598,0.5,769973,742519,594349,693090,0,0,0,0,1,1,1,1,5,3,6,6
141,139,136,137,-0.970967,-0.969862,-0.972293,-0.972958,1,769973,742519,923167,1.0236e+06,0,0,0,0,1,1,1,1,5,3,12,12
3,3,3,3,-0.00247991,-0.00247777,-0.00247777,0.0023273,0.0100001,3744,4594,8576,4733,0,0,0,0,0,0,0,0,1,1,1,1
3,3,3,3,-0.00247991,-0.00247777,-0.00247777,0.018525,0.100001,3744,4594,7274,10184,0,0,0,0,0,0,0,0,1,1,1,1
3,3,3,3,-0.00247991,-0.00247777,-0.00247777,0.0173427,0.5,3744,4594,9474,4813,0,0,0,0,0,0,0,0,1,1,1,1
3,3,4,4,-0.00247991,-0.00247777,0.036374,0.036442,1,3744,4594,7071,7962,0,0,0,0,0,0,0,0,1,1,2,2
119,122,123,123,-0.972687,-0.973725,-0.973706,-0.973706,0.0100001,829063,668794,671702,819993,0,0,0,0,1,1,1,1,4,4,6,6
119,122,123,123,-0.972687,-0.973725,-0.971656,-0.971656,0.100001,829063,668794,867187,752059,0,0,0,0,1,1,1,1,4,4,18,18
119,122,82,103,-0.972687,-0.973725,-0.97528,-0.976823,0.5,829063,668794,507145,621987,0,0,0,0,1,1,1,1,4,4,1,1
119,122,106,110,-0.972687,-0.973725,-0.976866,-0.976939,1,829063,668794,671084,667786,0,0,0,0,1,1,1,1,4,4,2,2
142,143,141,138,-0.97508,-0.974999,-0.975345,-0.97671,0.0100001,924098,980144,614706,810322,0,0,0,0,1,1,1,1,1,1,1,1
142,143,138,69,-0.97508,-0.974999,-0.97666,-0.97087,0.100001,924098,980144,734209,380007,0,0,0,0,1,1,1,1,1,1,2,1
142,143,133,138,-0.97508,-0.974999,-0.971335,-0.972839,0.5,924098,980144,633095,811722,0,0,0,0,1,1,1,1,1,1,1,1
142,143,140,140,-0.97508,-0.974999,-0.973246,-0.973052,1,924098,980144,787243,581269,0,0,0,0,1,1,1,1,1,1,1,1
