IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
1600,1564,1597,1602,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.0100001,7.19875e+08,5.25025e+08,3.86163e+08,2.55161e+08,0,0,0,0,1,1,1,1,38,5,39,39
1600,1564,1608,1607,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.100001,7.19875e+08,5.25025e+08,2.446e+08,2.45868e+08,0,0,0,0,1,1,1,1,38,5,48,48
1600,1564,1648,1606,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.5,7.19875e+08,5.25025e+08,3.52786e+08,3.17072e+08,0,0,0,0,1,1,1,1,38,5,153,77
1600,1564,1564,1560,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,1,7.19875e+08,5.25025e+08,2.83698e+08,2.87727e+08,0,0,0,0,1,1,1,1,38,5,18,8
1601,1561,1602,1602,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.0100001,2.94299e+08,1.34563e+08,1.35177e+08,1.393e+08,0,0,0,0,1,1,1,1,36,3,37,37
1601,1561,1608,1607,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.100001,2.94299e+08,1.34563e+08,1.40272e+08,1.41484e+08,0,0,0,0,1,1,1,1,36,3,46,45
1601,1561,1633,1564,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.5,2.94299e+08,1.34563e+08,1.37051e+08,1.36228e+08,0,0,0,0,1,1,1,1,36,3,81,66
1601,1561,1554,1568,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,1,2.94299e+08,1.34563e+08,1.32634e+08,1.2386e+08,0,0,0,0,1,1,1,1,36,3,10,20
1586,1568,1602,1602,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.0100001,1.25764e+08,1.21489e+08,1.28736e+08,1.31471e+08,0,0,0,0,1,1,1,1,38,5,39,39
1586,1568,1598,1602,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.100001,1.25764e+08,1.21489e+08,1.3343e+08,1.34339e+08,0,0,0,0,1,1,1,1,38,5,48,47
1586,1568,1658,1637,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.5,1.25764e+08,1.21489e+08,1.38856e+08,1.3977e+08,0,0,0,0,1,1,1,1,38,5,163,76
1586,1568,1546,1561,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,1,1.25764e+08,1.21489e+08,1.2837e+08,1.24481e+08,0,0,0,0,1,1,1,1,38,5,18,7
1605,1508,1605,1602,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.0100001,1.24509e+08,1.18516e+08,1.28258e+08,1.2206e+08,0,0,0,0,1,1,1,1,42,2,43,42
1605,1508,1572,1609,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.100001,1.24509e+08,1.18516e+08,1.18718e+08,1.16655e+08,0,0,0,0,1,1,1,1,42,2,51,51
1605,1508,1639,1631,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.5,1.24509e+08,1.18516e+08,1.33273e+08,1.25576e+08,0,0,0,0,1,1,1,1,42,2,144,79
1605,1508,1566,1559,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,1,1.24509e+08,1.18516e+08,1.15109e+08,1.12033e+08,0,0,0,0,1,1,1,1,42,2,19,15
1569,1564,1605,1592,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.0100001,1.04521e+08,1.13324e+08,1.14146e+08,1.12253e+08,0,0,0,0,1,1,1,1,42,4,42,42
1569,1564,1596,1608,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.100001,1.04521e+08,1.13324e+08,1.10331e+08,1.13175e+08,0,0,0,0,1,1,1,1,42,4,51,51
1569,1564,1639,1637,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.5,1.04521e+08,1.13324e+08,1.24823e+08,1.24461e+08,0,0,0,0,1,1,1,1,42,4,144,80
1569,1564,1564,1558,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,1,1.04521e+08,1.13324e+08,1.07675e+08,1.15171e+08,0,0,0,0,1,1,1,1,42,4,19,14
1599,1533,1599,1601,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.0100001,1.18116e+08,1.12067e+08,1.13102e+08,1.09531e+08,0,0,0,0,1,1,1,1,34,12,35,35
1599,1533,1604,1606,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.100001,1.18116e+08,1.12067e+08,1.049e+08,1.08912e+08,0,0,0,0,1,1,1,1,34,12,44,43
1599,1533,1639,1611,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.5,1.18116e+08,1.12067e+08,1.21575e+08,1.19076e+08,0,0,0,0,1,1,1,1,34,12,78,74
1599,1533,1522,1566,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,1,1.18116e+08,1.12067e+08,1.02684e+08,1.08395e+08,0,0,0,0,1,1,1,1,34,12,13,16
1565,1566,1592,1587,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.0100001,1.01996e+08,1.05265e+08,1.06079e+08,1.06839e+08,0,0,0,0,1,1,1,1,12,4,26,22
1565,1566,1604,1607,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.100001,1.01996e+08,1.05265e+08,1.07569e+08,1.04348e+08,0,0,0,0,1,1,1,1,12,4,42,43
1565,1566,1623,1629,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.5,1.01996e+08,1.05265e+08,1.20755e+08,1.08352e+08,0,0,0,0,1,1,1,1,12,4,77,72
1565,1566,1559,1564,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,1,1.01996e+08,1.05265e+08,9.93666e+07,1.0306e+08,0,0,0,0,1,1,1,1,12,4,9,17
1600,1514,1601,1601,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.0100001,1.08402e+08,1.01033e+08,1.04082e+08,1.08676e+08,0,0,0,0,1,1,1,1,36,8,36,36
1600,1514,1609,1606,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.100001,1.08402e+08,1.01033e+08,1.05145e+08,1.04312e+08,0,0,0,0,1,1,1,1,36,8,45,44
1600,1514,1631,1631,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.5,1.08402e+08,1.01033e+08,1.08178e+08,1.10385e+08,0,0,0,0,1,1,1,1,36,8,76,71
1600,1514,1564,1558,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,1,1.08402e+08,1.01033e+08,9.99781e+07,1.02554e+08,0,0,0,0,1,1,1,1,36,8,16,1
1598,1536,1605,1604,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.0100001,1.08524e+08,1.05905e+08,1.07326e+08,1.04156e+08,0,0,0,0,1,1,1,1,41,3,42,42
1598,1536,1595,1607,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.100001,1.08524e+08,1.05905e+08,1.16296e+08,1.08542e+08,0,0,0,0,1,1,1,1,41,3,50,50
1598,1536,1641,1632,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.5,1.08524e+08,1.05905e+08,1.12984e+08,1.08303e+08,0,0,0,0,1,1,1,1,41,3,146,78
1598,1536,1544,1559,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,1,1.08524e+08,1.05905e+08,9.89141e+07,9.96721e+07,0,0,0,0,1,1,1,1,41,3,19,14
1587,1584,1590,1593,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.0100001,1.00696e+08,1.01665e+08,1.0285e+08,1.02741e+08,0,0,0,0,1,1,1,1,23,20,30,29
1587,1584,1610,1607,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.100001,1.00696e+08,1.01665e+08,1.05188e+08,1.04588e+08,0,0,0,0,1,1,1,1,23,20,46,45
1587,1584,1635,1629,7.70313e+08,7.70313e+08,7.70313e+08,7.70313e+08,0.5,1.00696e+08,1.01665e+08,1.08488e+08,1.07704e+08,0,0,0,0,1,1,1,1,23,20,79,74
