IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
1099,639,1095,824,0.119796,0.248319,0.122086,0.19306,0.0100001,1.00981e+07,6.93592e+06,1.54287e+07,1.1265e+07,0,0,0,0,1,1,1,1,906,423,919,763
1099,639,1241,1157,0.119796,0.248319,0.124402,0.118891,0.100001,1.00981e+07,6.93592e+06,1.54322e+07,1.51517e+07,0,0,0,0,1,1,1,1,906,423,1110,987
1099,639,1276,1146,0.119796,0.248319,0.113277,0.11145,0.5,1.00981e+07,6.93592e+06,1.56415e+07,1.3793e+07,0,0,0,0,1,1,1,1,906,423,1143,1021
1099,639,1124,861,0.119796,0.248319,0.112534,0.110952,1,1.00981e+07,6.93592e+06,1.52939e+07,1.16801e+07,0,0,0,0,1,1,1,1,906,423,973,726
1346,367,1203,1238,0.251744,0.118521,0.250893,0.249058,0.0100001,1.2163e+07,4.49178e+06,1.70053e+07,1.65956e+07,0,0,0,0,1,1,1,1,1147,136,980,1018
1346,367,1162,1344,0.251744,0.118521,0.247885,0.251022,0.100001,1.2163e+07,4.49178e+06,1.49573e+07,1.85571e+07,0,0,0,0,1,1,1,1,1147,136,946,1127
1346,367,1369,1269,0.251744,0.118521,0.249528,0.252096,0.5,1.2163e+07,4.49178e+06,1.74401e+07,1.49578e+07,0,0,0,0,1,1,1,1,1147,136,1153,1059
1346,367,1066,1045,0.251744,0.118521,0.248995,0.252782,1,1.2163e+07,4.49178e+06,1.40911e+07,1.23503e+07,0,0,0,0,1,1,1,1,1147,136,881,833
1220,489,1085,1215,0.122487,0.251835,0.248765,0.25106,0.100001,9.83818e+06,7.44327e+06,1.31281e+07,1.46705e+07,0,0,0,0,1,1,1,1,1074,271,870,1019
1220,489,1076,1297,0.122487,0.251835,0.113032,0.246438,0.5,9.83818e+06,7.44327e+06,1.3145e+07,1.67954e+07,0,0,0,0,1,1,1,1,1074,271,951,1092
1220,489,1062,1167,0.122487,0.251835,0.12041,0.251734,1,9.83818e+06,7.44327e+06,1.41688e+07,1.46056e+07,0,0,0,0,1,1,1,1,1074,271,871,964
