IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
378,374,380,377,0.0178783,0.0178078,0.0365345,0.017922,0.0100001,7.47815e+08,5.35564e+08,6.02938e+08,4.18845e+08,0,0,0,0,1,1,0,1,203,198,350,202
378,374,403,381,0.0178783,0.0178078,0.017736,0.0178533,0.100001,7.47815e+08,5.35564e+08,4.4404e+08,4.21663e+08,0,0,0,0,1,1,1,1,203,198,205,206
378,374,498,481,0.0178783,0.0178078,0.0177885,0.0177843,0.5,7.47815e+08,5.35564e+08,5.95731e+08,3.29252e+08,0,0,0,0,1,1,1,1,203,198,323,306
378,374,2639,2639,0.0178783,0.0178078,0.0365388,0.0365398,1,7.47815e+08,5.35564e+08,1.70605e+09,1.6626e+09,0,0,0,0,1,1,0,0,203,198,2619,2619
159,160,123,160,0.0169927,0.0171653,0.0176029,0.0168944,0.0100001,4.92585e+07,4.29855e+07,3.62229e+07,4.96041e+07,0,0,0,0,1,1,1,1,10,4,11,12
159,160,150,148,0.0169927,0.0171653,0.016587,0.0165505,0.100001,4.92585e+07,4.29855e+07,4.50214e+07,3.90597e+07,0,0,0,0,1,1,1,1,10,4,1,1
159,160,333,333,0.0169927,0.0171653,0.0167372,0.0167372,0.5,4.92585e+07,4.29855e+07,1.33272e+08,1.39955e+08,0,0,0,0,1,1,1,1,10,4,181,181
159,160,333,333,0.0169927,0.0171653,0.0167372,0.0167372,1,4.92585e+07,4.29855e+07,1.37367e+08,1.5127e+08,0,0,0,0,1,1,1,1,10,4,181,181
389,367,393,392,0.017872,0.0179051,0.017836,0.0178556,0.0100001,1.25367e+08,1.11408e+08,1.6294e+08,1.76295e+08,0,0,0,0,1,1,1,1,216,192,218,219
389,367,391,383,0.017872,0.0179051,0.0178806,0.017882,0.100001,1.25367e+08,1.11408e+08,1.76206e+08,1.59882e+08,0,0,0,0,1,1,1,1,216,192,224,214
389,367,2892,2893,0.017872,0.0179051,0.0362961,0.0362547,0.5,1.25367e+08,1.11408e+08,1.54537e+09,1.58832e+09,0,0,0,0,1,1,0,0,216,192,2889,2890
389,367,2902,2900,0.017872,0.0179051,0.0362139,0.0362706,1,1.25367e+08,1.11408e+08,1.54535e+09,1.4862e+09,0,0,0,0,1,1,0,0,216,192,2899,2897
377,352,386,386,0.0178876,0.017796,0.0177819,0.0179192,0.0100001,1.07501e+08,9.8838e+07,1.56975e+08,1.57778e+08,0,0,0,0,1,1,1,1,206,177,217,216
377,352,318,277,0.0178876,0.017796,0.0176466,0.0177683,0.100001,1.07501e+08,9.8838e+07,1.2394e+08,1.02639e+08,0,0,0,0,1,1,1,1,206,177,153,111
377,352,2867,2867,0.0178876,0.017796,0.0176114,0.0176114,0.5,1.07501e+08,9.8838e+07,1.48033e+09,1.41024e+09,0,0,0,0,1,1,1,1,206,177,2701,2701
377,352,2867,2867,0.0178876,0.017796,0.0176114,0.0176114,1,1.07501e+08,9.8838e+07,1.46765e+09,1.45719e+09,0,0,0,0,1,1,1,1,206,177,2701,2701
414,16,435,432,0.0179006,0.0365317,0.0177678,0.0178461,0.0100001,1.14075e+08,4.31963e+06,1.77567e+08,1.77215e+08,0,0,0,0,1,0,1,1,243,14,265,262
414,16,136,143,0.0179006,0.0365317,0.0164719,0.016751,0.100001,1.14075e+08,4.31963e+06,3.76175e+07,3.91492e+07,0,0,0,0,1,0,1,1,243,14,10,9
414,16,3237,3237,0.0179006,0.0365317,0.0175311,0.0175311,0.5,1.14075e+08,4.31963e+06,1.64805e+09,1.63998e+09,0,0,0,0,1,0,1,1,243,14,3075,3075
414,16,3237,3237,0.0179006,0.0365317,0.0175311,0.0175311,1,1.14075e+08,4.31963e+06,1.6049e+09,1.63505e+09,0,0,0,0,1,0,1,1,243,14,3075,3075
79,78,80,79,0.024675,0.0243798,0.0246389,0.0246769,0.0100001,2.3439e+07,2.30775e+07,4.04938e+07,4.00935e+07,0,0,0,0,0,0,0,0,77,76,78,77
79,78,89,90,0.024675,0.0243798,0.0248646,0.0248132,0.100001,2.3439e+07,2.30775e+07,4.53411e+07,4.59491e+07,0,0,0,0,0,0,0,0,77,76,87,88
79,78,1000,1000,0.024675,0.0243798,0.0249431,0.0249431,0.5,2.3439e+07,2.30775e+07,5.10006e+08,5.19782e+08,0,0,0,0,0,0,0,0,77,76,998,998
79,78,1000,1000,0.024675,0.0243798,0.0249431,0.0249431,1,2.3439e+07,2.30775e+07,5.27289e+08,5.31482e+08,0,0,0,0,0,0,0,0,77,76,998,998
328,299,333,333,0.023631,0.0343443,0.0232094,0.0233422,0.0100001,1.0227e+08,9.25715e+07,1.75789e+08,1.76606e+08,0,0,0,0,0,0,0,0,326,297,331,331
328,299,464,454,0.023631,0.0343443,0.021977,0.021938,0.100001,1.0227e+08,9.25715e+07,2.37135e+08,2.21155e+08,0,0,0,0,0,0,0,0,326,297,462,452
328,299,4187,4187,0.023631,0.0343443,0.0216733,0.0216733,0.5,1.0227e+08,9.25715e+07,2.13092e+09,2.16385e+09,0,0,0,0,0,0,0,0,326,297,4185,4185
328,299,4187,4187,0.023631,0.0343443,0.0216733,0.0216733,1,1.0227e+08,9.25715e+07,2.1005e+09,2.07284e+09,0,0,0,0,0,0,0,0,326,297,4185,4185
372,362,404,371,0.0178023,0.0178094,0.0365453,0.0179063,0.0100001,9.71415e+07,9.4052e+07,1.87098e+08,1.38696e+08,0,0,0,0,1,1,0,1,197,186,372,196
372,362,380,380,0.0178023,0.0178094,0.0178635,0.0178119,0.100001,9.71415e+07,9.4052e+07,1.43762e+08,1.44121e+08,0,0,0,0,1,1,1,1,197,186,206,206
372,362,162,152,0.0178023,0.0178094,0.0177682,0.017832,0.5,9.71415e+07,9.4052e+07,4.29127e+07,3.98652e+07,0,0,0,0,1,1,1,1,197,186,10,9
372,362,2598,2598,0.0178023,0.0178094,0.0365446,0.0365515,1,9.71415e+07,9.4052e+07,1.29783e+09,1.30733e+09,0,0,0,0,1,1,0,0,197,186,2587,2587
149,145,150,151,0.0217791,0.0210738,0.0218761,0.0217767,0.0100001,4.04743e+07,3.89573e+07,6.94303e+07,7.04262e+07,0,0,0,0,0,0,0,0,147,143,148,149
149,145,192,190,0.0217791,0.0210738,0.0219776,0.0220285,0.100001,4.04743e+07,3.89573e+07,9.01016e+07,8.96992e+07,0,0,0,0,0,0,0,0,147,143,190,188
