IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
835,867,830,841,0.256342,0.255011,0.913215,0.260241,1,3.12046e+08,3.24479e+08,5.32626e+08,5.50431e+08,0,0,0,0,0,0,0,0,833,865,828,839
851,886,847,855,0.221655,0.222768,0.288099,0.223491,1,3.02417e+08,3.10667e+08,5.18082e+08,4.99493e+08,0,0,0,0,0,0,0,0,849,884,845,853
923,931,931,937,0.220293,0.252119,0.237946,0.219882,1,2.90577e+08,2.80927e+08,5.36924e+08,5.09244e+08,0,0,0,0,0,0,0,0,921,929,929,935
996,980,988,992,0.404789,0.830327,1.04132,0.470485,1,2.96563e+08,3.10575e+08,5.50309e+08,5.27771e+08,0,0,0,0,0,0,0,0,994,978,986,990
800,815,849,856,0.286621,0.246815,0.301098,0.30821,0.5,2.41443e+08,2.36308e+08,4.41962e+08,4.46408e+08,0,0,0,0,0,0,0,0,798,813,847,854
800,815,836,848,0.286621,0.246815,0.319042,0.319637,1,2.41443e+08,2.36308e+08,4.3514e+08,4.41966e+08,0,0,0,0,0,0,0,0,798,813,834,846
1019,919,894,976,0.226202,0.262794,0.22718,0.238054,0.5,2.9178e+08,2.63573e+08,4.65987e+08,5.17837e+08,0,0,0,0,0,0,0,0,1017,917,892,974
1019,919,863,847,0.226202,0.262794,0.268632,0.272436,1,2.9178e+08,2.63573e+08,4.53882e+08,4.39642e+08,0,0,0,0,0,0,0,0,1017,917,861,845
854,858,847,859,0.425339,0.568965,0.835776,0.432974,1,2.43816e+08,2.45088e+08,4.39262e+08,4.45785e+08,0,0,0,0,0,0,0,0,852,856,845,857
912,919,913,920,0.223037,0.265752,0.265747,0.223828,1,2.60374e+08,2.64183e+08,4.92081e+08,4.77923e+08,0,0,0,0,0,0,0,0,910,917,911,918
763,800,760,767,0.245134,0.239523,0.735114,0.247334,1,2.16691e+08,2.27209e+08,3.93534e+08,3.95702e+08,0,0,0,0,0,0,0,0,761,798,758,765
1025,995,1016,1020,0.359019,0.869984,1.03417,0.413746,1,2.90751e+08,2.82756e+08,5.24216e+08,5.29615e+08,0,0,0,0,0,0,0,0,1023,993,1014,1018
898,927,893,900,0.235089,0.249198,0.991676,0.245114,1,2.55053e+08,2.62947e+08,4.59893e+08,4.6372e+08,0,0,0,0,0,0,0,0,896,925,891,898
856,894,851,859,0.221427,0.221724,0.324603,0.222998,1,2.41937e+08,2.52368e+08,4.36305e+08,4.40225e+08,0,0,0,0,0,0,0,0,854,892,849,857
1002,967,1019,1021,0.309136,1.54174,0.54315,0.296591,1,2.82535e+08,2.72722e+08,5.22388e+08,5.23322e+08,0,0,0,0,0,0,0,0,1000,965,1017,1019
1063,525,1059,1066,0.597062,0.607512,0.920334,0.612996,1,2.92238e+08,1.43969e+08,5.24524e+08,5.27862e+08,0,0,0,0,0,0,0,0,1061,521,1057,1064
952,890,947,954,0.299906,0.38097,0.975404,0.314261,1,2.59521e+08,2.42593e+08,4.69596e+08,4.7292e+08,0,0,0,0,0,0,0,0,950,888,945,952
1034,995,1026,1030,0.333082,0.726464,1.03552,0.371864,1,2.81839e+08,2.70747e+08,5.08588e+08,5.10478e+08,0,0,0,0,0,0,0,0,1032,993,1024,1028
1075,943,1069,1073,0.428739,1.54185,0.909307,0.470916,1,2.93633e+08,2.57685e+08,5.28206e+08,5.31166e+08,0,0,0,0,0,0,0,0,1073,941,1067,1071
657,692,656,658,0.228176,0.227403,0.309873,0.228501,0.5,1.78563e+08,1.8787e+08,3.24729e+08,3.25123e+08,0,0,0,0,0,0,0,0,655,690,654,656
657,692,656,661,0.228176,0.227403,0.249804,0.227626,1,1.78563e+08,1.8787e+08,3.24227e+08,3.26789e+08,0,0,0,0,0,0,0,0,655,690,654,659
937,957,934,940,0.221537,0.240184,0.321448,0.223458,1,2.54289e+08,2.59677e+08,4.60659e+08,4.63759e+08,0,0,0,0,0,0,0,0,935,955,932,938
