IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
128,467,501,501,-443.669,-443.669,-443.669,-443.669,0.0100001,26411,90241,130984,115957,0,0,0,0,1,1,1,1,6,2,1,1
128,467,508,508,-443.669,-443.669,-443.669,-443.669,0.100001,26411,90241,111203,110467,0,0,0,0,1,1,1,1,6,2,7,7
128,467,506,506,-443.669,-443.669,-443.669,-443.669,0.5,26411,90241,111625,110362,0,0,0,0,1,1,1,1,6,2,12,12
128,467,522,522,-443.669,-443.669,-443.669,-443.669,1,26411,90241,122953,64537,0,0,0,0,1,1,1,1,6,2,23,23
478,503,512,512,-443.669,-443.669,-443.669,-443.669,0.0100001,106934,122452,125415,118928,0,0,0,0,1,1,1,1,11,5,12,12
478,503,144,144,-443.669,-443.669,-443.669,-443.669,0.100001,106934,122452,35756,37485,0,0,0,0,1,1,1,1,11,5,2,2
478,503,506,506,-443.669,-443.669,-443.669,-443.669,0.5,106934,122452,130746,124630,0,0,0,0,1,1,1,1,11,5,6,6
478,503,511,511,-443.669,-443.669,-443.669,-443.669,1,106934,122452,130870,135142,0,0,0,0,1,1,1,1,11,5,12,12
508,374,505,505,-443.669,-443.669,-443.669,-443.669,0.0100001,134506,92068,125815,143248,0,0,0,0,1,1,1,1,9,6,6,6
508,374,351,351,-443.669,-443.669,-443.669,-443.669,0.100001,134506,92068,97042,89100,0,0,0,0,1,1,1,1,9,6,1,1
508,374,501,501,-443.669,-443.669,-443.669,-443.669,0.5,134506,92068,133960,133921,0,0,0,0,1,1,1,1,9,6,3,3
508,374,497,497,-443.669,-443.669,-443.669,-443.669,1,134506,92068,134564,121560,0,0,0,0,1,1,1,1,9,6,5,5
512,500,506,506,-443.669,-443.669,-443.669,-443.669,0.0100001,126790,125540,128460,136973,0,0,0,0,1,1,1,1,13,8,6,6
512,500,414,414,-443.669,-443.669,-443.669,-443.669,0.100001,126790,125540,104112,107757,0,0,0,0,1,1,1,1,13,8,1,1
512,500,503,503,-443.669,-443.669,-443.669,-443.669,0.5,126790,125540,143414,133459,0,0,0,0,1,1,1,1,13,8,3,3
512,500,505,505,-443.669,-443.669,-443.669,-443.669,1,126790,125540,134835,134842,0,0,0,0,1,1,1,1,13,8,6,6
503,510,511,511,-443.669,-443.669,-443.669,-443.669,0.0100001,153541,128144,142052,196016,0,0,0,0,1,1,1,1,3,10,11,11
503,510,531,531,-443.669,-443.669,-443.669,-443.669,0.100001,153541,128144,216472,176163,0,0,0,0,1,1,1,1,3,10,2,2
503,510,501,501,-443.669,-443.669,-443.669,-443.669,0.5,153541,128144,267857,233043,0,0,0,0,1,1,1,1,3,10,6,6
503,510,510,510,-443.669,-443.669,-443.669,-443.669,1,153541,128144,144271,135264,0,0,0,0,1,1,1,1,3,10,11,11
501,445,505,505,-443.669,-443.669,-443.669,-443.669,0.0100001,242787,137980,133094,151133,0,0,0,0,1,1,1,1,2,1,5,5
501,445,441,441,-443.669,-443.669,-443.669,-443.669,0.100001,242787,137980,151858,196512,0,0,0,0,1,1,1,1,2,1,1,1
501,445,493,493,-443.669,-443.669,-443.669,-443.669,0.5,242787,137980,124883,187100,0,0,0,0,1,1,1,1,2,1,3,3
501,445,504,504,-443.669,-443.669,-443.669,-443.669,1,242787,137980,135075,292794,0,0,0,0,1,1,1,1,2,1,5,5
494,495,497,497,-443.669,-443.669,-443.669,-443.669,0.0100001,120169,208948,232910,239079,0,0,0,0,1,1,1,1,3,4,10,10
494,495,534,534,-443.669,-443.669,-443.669,-443.669,0.100001,120169,208948,256691,236146,0,0,0,0,1,1,1,1,3,4,33,33
494,495,493,493,-443.669,-443.669,-443.669,-443.669,0.5,120169,208948,293571,240000,0,0,0,0,1,1,1,1,3,4,6,6
494,495,510,510,-443.669,-443.669,-443.669,-443.669,1,120169,208948,246325,237209,0,0,0,0,1,1,1,1,3,4,10,10
496,491,497,497,-443.669,-443.669,-443.669,-443.669,0.0100001,219899,296051,216282,215022,0,0,0,0,1,1,1,1,2,3,7,7
496,491,498,498,-443.669,-443.669,-443.669,-443.669,0.100001,219899,296051,219445,219051,0,0,0,0,1,1,1,1,2,3,1,1
496,491,500,500,-443.669,-443.669,-443.669,-443.669,0.5,219899,296051,207107,217719,0,0,0,0,1,1,1,1,2,3,4,4
496,491,507,507,-443.669,-443.669,-443.669,-443.669,1,219899,296051,218041,235059,0,0,0,0,1,1,1,1,2,3,7,7
506,324,493,493,-443.669,-443.669,-443.669,-443.669,0.0100001,343075,191344,307615,243254,0,0,0,0,1,1,1,1,6,10,3,3
506,324,526,526,-443.669,-443.669,-443.669,-443.669,0.100001,343075,191344,275680,319425,0,0,0,0,1,1,1,1,6,10,35,35
506,324,511,511,-443.669,-443.669,-443.669,-443.669,0.5,343075,191344,345551,305873,0,0,0,0,1,1,1,1,6,10,13,13
506,324,511,511,-443.669,-443.669,-443.669,-443.669,1,343075,191344,288313,257991,0,0,0,0,1,1,1,1,6,10,25,25
470,491,514,514,-443.669,-443.669,-443.669,-443.669,0.0100001,275303,333363,399285,361814,0,0,0,0,1,1,1,1,7,4,15,15
470,491,499,499,-443.669,-443.669,-443.669,-443.669,0.100001,275303,333363,232912,558532,0,0,0,0,1,1,1,1,7,4,13,13
470,491,508,508,-443.669,-443.669,-443.669,-443.669,0.5,275303,333363,333506,248884,0,0,0,0,1,1,1,1,7,4,8,8
470,491,515,515,-443.669,-443.669,-443.669,-443.669,1,275303,333363,343948,259292,0,0,0,0,1,1,1,1,7,4,15,15
499,498,505,505,-443.669,-443.669,-443.669,-443.669,0.0100001,244388,245574,261601,247025,0,0,0,0,1,1,1,1,3,1,5,5
499,498,401,401,-443.669,-443.669,-443.669,-443.669,0.100001,244388,245574,189201,187492,0,0,0,0,1,1,1,1,3,1,1,1
499,498,495,495,-443.669,-443.669,-443.669,-443.669,0.5,244388,245574,269815,227296,0,0,0,0,1,1,1,1,3,1,3,3
499,498,505,505,-443.669,-443.669,-443.669,-443.669,1,244388,245574,233760,237827,0,0,0,0,1,1,1,1,3,1,5,5
514,319,502,502,-443.669,-443.669,-443.669,-443.669,0.0100001,253559,146163,246032,334562,0,0,0,0,1,1,1,1,15,1,3,3
514,319,520,520,-443.669,-443.669,-443.669,-443.669,0.100001,253559,146163,405224,264546,0,0,0,0,1,1,1,1,15,1,21,21
514,319,477,477,-443.669,-443.669,-443.669,-443.669,0.5,253559,146163,246756,234421,0,0,0,0,1,1,1,1,15,1,1,1
514,319,492,492,-443.669,-443.669,-443.669,-443.669,1,253559,146163,262481,235420,0,0,0,0,1,1,1,1,15,1,2,2
413,501,506,506,-443.669,-443.669,-443.669,-443.669,0.0100001,283869,350200,298827,339564,0,0,0,0,1,1,1,1,2,13,7,7
413,501,479,479,-443.669,-443.669,-443.669,-443.669,0.100001,283869,350200,218980,258326,0,0,0,0,1,1,1,1,2,13,1,1
