IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
927,642,767,875,3.00076,3.00051,3.00084,3.00064,0.0100001,4.41763e+08,2.57344e+08,3.13316e+08,3.05785e+08,0,0,0,0,1,1,1,1,415,28,224,346
927,642,736,736,3.00076,3.00051,3.00085,3.00085,0.100001,4.41763e+08,2.57344e+08,2.35612e+08,2.12711e+08,0,0,0,0,1,1,1,1,415,28,232,232
927,642,736,736,3.00076,3.00051,3.00085,3.00085,0.5,4.41763e+08,2.57344e+08,2.42506e+08,2.33938e+08,0,0,0,0,1,1,1,1,415,28,232,232
927,642,736,736,3.00076,3.00051,3.00085,3.00085,1,4.41763e+08,2.57344e+08,2.4118e+08,2.38287e+08,0,0,0,0,1,1,1,1,415,28,232,232
826,547,715,699,30.0012,3.00059,30.0012,30.0012,0.0100001,2.079e+08,1.35502e+08,2.36107e+08,1.13655e+08,0,0,0,0,1,1,1,1,498,15,389,376
826,547,527,525,30.0012,3.00059,30.0012,30.0012,0.100001,2.079e+08,1.35502e+08,8.61981e+07,8.77634e+07,0,0,0,0,1,1,1,1,498,15,247,228
826,547,1197,1197,30.0012,3.00059,30.0012,30.0012,0.5,2.079e+08,1.35502e+08,2.36692e+08,2.28033e+08,0,0,0,0,1,1,1,1,498,15,869,869
826,547,1197,1197,30.0012,3.00059,30.0012,30.0012,1,2.079e+08,1.35502e+08,2.11474e+08,2.24892e+08,0,0,0,0,1,1,1,1,498,15,869,869
1390,1004,1409,1445,840.001,30.0005,840.001,840.001,0.0100001,1.54585e+08,1.01611e+08,2.40437e+08,2.32334e+08,0,0,0,0,1,1,1,1,818,20,836,872
1390,1004,975,975,840.001,30.0005,840.001,840.001,0.100001,1.54585e+08,1.01611e+08,1.48023e+08,1.3971e+08,0,0,0,0,1,1,1,1,818,20,480,480
1390,1004,975,975,840.001,30.0005,840.001,840.001,0.5,1.54585e+08,1.01611e+08,1.44701e+08,1.35348e+08,0,0,0,0,1,1,1,1,818,20,480,480
1390,1004,975,975,840.001,30.0005,840.001,840.001,1,1.54585e+08,1.01611e+08,1.37601e+08,1.42289e+08,0,0,0,0,1,1,1,1,818,20,480,480
966,531,956,989,30.0005,3.00052,30.0005,30.0005,0.0100001,8.96305e+07,5.18222e+07,9.75841e+07,1.14192e+08,0,0,0,0,1,1,1,1,201,29,195,234
966,531,833,833,30.0005,3.00052,30.0005,30.0005,0.100001,8.96305e+07,5.18222e+07,7.99448e+07,8.13956e+07,0,0,0,0,1,1,1,1,201,29,61,61
966,531,833,833,30.0005,3.00052,30.0005,30.0005,0.5,8.96305e+07,5.18222e+07,7.84629e+07,7.6319e+07,0,0,0,0,1,1,1,1,201,29,61,61
966,531,833,833,30.0005,3.00052,30.0005,30.0005,1,8.96305e+07,5.18222e+07,8.74338e+07,8.1106e+07,0,0,0,0,1,1,1,1,201,29,61,61
974,499,850,856,3.0006,3.00052,3.0006,3.00061,0.0100001,9.45921e+07,4.68274e+07,9.85563e+07,1.03776e+08,0,0,0,0,1,1,1,1,409,51,289,289
974,499,867,867,3.0006,3.00052,3.0006,3.0006,0.100001,9.45921e+07,4.68274e+07,1.03968e+08,1.11258e+08,0,0,0,0,1,1,1,1,409,51,301,301
974,499,867,867,3.0006,3.00052,3.0006,3.0006,0.5,9.45921e+07,4.68274e+07,1.10922e+08,1.06827e+08,0,0,0,0,1,1,1,1,409,51,301,301
974,499,867,867,3.0006,3.00052,3.0006,3.0006,1,9.45921e+07,4.68274e+07,1.03914e+08,1.04991e+08,0,0,0,0,1,1,1,1,409,51,301,301
1268,913,1314,1321,30.0004,30.0004,30.0004,30.0004,0.0100001,1.16179e+08,7.46119e+07,1.60455e+08,1.68489e+08,0,0,0,0,1,1,1,1,543,33,587,595
