IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
238,200,235,229,-3.19894,-3.19672,-3.19888,-3.1982,0.0100001,5.69356e+08,3.13776e+08,3.54158e+08,2.67003e+08,0,0,0,0,1,1,1,1,26,6,19,2
238,200,224,238,-3.19894,-3.19672,-3.19878,-3.1986,0.100001,5.69356e+08,3.13776e+08,2.04346e+08,2.18887e+08,0,0,0,0,1,1,1,1,26,6,22,18
238,200,564,520,-3.19894,-3.19672,-3.19846,-3.19837,0.5,5.69356e+08,3.13776e+08,7.49584e+08,6.62194e+08,0,0,0,0,1,1,1,1,26,6,336,292
238,200,1596,1274,-3.19894,-3.19672,-3.19833,-3.19848,1,5.69356e+08,3.13776e+08,1.36809e+09,7.90467e+08,0,0,0,0,1,1,1,1,26,6,1367,1048
232,216,194,188,-3.19677,-3.19668,-3.19552,-3.19521,0.0100001,7.68966e+07,7.37186e+07,6.61624e+07,6.09848e+07,0,0,0,0,1,1,1,1,18,2,1,1
232,216,222,205,-3.19677,-3.19668,-3.19654,-3.19659,0.100001,7.68966e+07,7.37186e+07,7.97772e+07,7.55683e+07,0,0,0,0,1,1,1,1,18,2,9,8
232,216,403,364,-3.19677,-3.19668,-3.19659,-3.19656,0.5,7.68966e+07,7.37186e+07,2.06468e+08,1.75462e+08,0,0,0,0,1,1,1,1,18,2,191,154
232,216,924,744,-3.19677,-3.19668,-3.19663,-3.19653,1,7.68966e+07,7.37186e+07,5.32307e+08,3.94085e+08,0,0,0,0,1,1,1,1,18,2,708,529
217,180,224,215,-3.1976,-3.19762,-3.19759,-3.19765,0.0100001,6.58958e+07,5.60877e+07,7.36675e+07,6.86908e+07,0,0,0,0,1,1,1,1,3,1,4,4
217,180,221,221,-3.1976,-3.19762,-3.1975,-3.19752,0.100001,6.58958e+07,5.60877e+07,6.5134e+07,6.36675e+07,0,0,0,0,1,1,1,1,3,1,1,1
217,180,227,222,-3.1976,-3.19762,-3.1976,-3.19758,0.5,6.58958e+07,5.60877e+07,6.68066e+07,6.45287e+07,0,0,0,0,1,1,1,1,3,1,7,6
217,180,250,243,-3.1976,-3.19762,-3.19765,-3.19766,1,6.58958e+07,5.60877e+07,8.17545e+07,8.04662e+07,0,0,0,0,1,1,1,1,3,1,28,21
