IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
13,3,3,3,-2.91081e+13,-7.1144e+18,-2.52924e+20,-2.52924e+20,0.0100001,25014,4202,6157,2102,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,11,1,1,1
13,3,3,3,-2.91081e+13,-7.1144e+18,-2.53308e+17,-2.53308e+17,0.100001,25014,4202,2245,2150,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,11,1,1,1
13,3,3,3,-2.91081e+13,-7.1144e+18,-2.04016e+15,-2.04016e+15,0.5,25014,4202,2149,2239,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,11,1,1,1
13,3,3,3,-2.91081e+13,-7.1144e+18,-2.57172e+14,-2.57172e+14,1,25014,4202,1850,2022,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,11,1,1,1
12,3,3,3,-3.03372e+13,-1.01717e+18,-3.12922e+21,-3.12922e+21,0.0100001,29929,35160,9756,5220,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,10,1,1,1
12,3,3,3,-3.03372e+13,-1.01717e+18,-3.13234e+18,-3.13234e+18,0.100001,29929,35160,5077,5055,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,10,1,1,1
12,3,3,3,-3.03372e+13,-1.01717e+18,-2.517e+16,-2.517e+16,0.5,29929,35160,4864,4778,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,10,1,1,1
12,3,3,3,-3.03372e+13,-1.01717e+18,-3.16371e+15,-3.16371e+15,1,29929,35160,2413,2060,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,10,1,1,1
12,3,3,3,-4.05541e+13,-1.38208e+20,-5.59176e+21,-5.59176e+21,0.0100001,10403,5587,2264,2334,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,10,1,1,1
12,3,3,3,-4.05541e+13,-1.38208e+20,-5.59683e+18,-5.59683e+18,0.100001,10403,5587,1944,2159,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,10,1,1,1
12,3,3,3,-4.05541e+13,-1.38208e+20,-4.49551e+16,-4.49551e+16,0.5,10403,5587,2096,1891,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,10,1,1,1
12,3,3,3,-4.05541e+13,-1.38208e+20,-5.64769e+15,-5.64769e+15,1,10403,5587,2304,2141,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,10,1,1,1
13,3,3,3,-1.96021e+13,-8.18752e+16,-1.14704e+20,-1.14704e+20,0.0100001,10159,6117,1938,2280,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,11,1,1,1
13,3,3,3,-1.96021e+13,-8.18752e+16,-1.14903e+17,-1.14903e+17,0.100001,10159,6117,1846,2094,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,11,1,1,1
