IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
34,52,62,13,-61.5625,-55.5003,-58.7429,-55.8608,1,2.0282e+06,3.02783e+06,4.01313e+06,949606,0,0,0,0,0,1,1,1,32,27,8,7
19,39,9,7,-3.49091e+18,4.6197,-4.80164e+17,-1.06918e+13,0.5,1.00377e+06,2.41397e+06,889103,613167,-2147483648,0,-2147483648,-2147483648,0,1,0,0,17,5,7,5
26,10,27,28,-55.3556,-10.9454,-55.3898,-55.3685,0.5,1.47307e+06,557484,1.94715e+06,3.10001e+06,0,0,0,0,1,0,1,1,2,8,1,8
26,10,29,12,-55.3556,-10.9454,-55.4041,-55.2227,1,1.47307e+06,557484,2.70107e+06,1.21116e+06,0,0,0,0,1,0,1,1,2,8,2,3
29,39,3,12,-55.3527,-55.4227,-59.0914,-56.2079,0.5,1.70039e+06,2.43388e+06,167635,704240,0,0,0,0,1,1,0,1,1,18,1,1
29,39,4,17,-55.3527,-55.4227,-58.9518,-55.3009,1,1.70039e+06,2.43388e+06,274823,1.13642e+06,0,0,0,0,1,1,0,1,1,18,2,2
71,65,71,72,-57.8245,-57.6666,-57.6966,-57.7947,0.5,3.92269e+06,4.43814e+06,3.54748e+06,5.06834e+06,0,0,0,0,1,1,1,1,3,1,1,1
71,65,70,3,-57.8245,-57.6666,-57.8827,-56.704,1,3.92269e+06,4.43814e+06,4.78913e+06,176700,0,0,0,0,1,1,1,0,3,1,3,1
9,58,91,65,-55.326,-55.6102,-56.703,-59.3208,0.5,616454,4.5066e+06,7.75083e+06,3.39358e+06,0,0,0,0,1,1,1,1,2,33,42,1
9,58,23,5,-55.326,-55.6102,-55.5226,-55.7154,1,616454,4.5066e+06,1.67772e+06,313670,0,0,0,0,1,1,1,0,2,33,2,3
3,7,3,3,-5.92284,-2.69549,-14.9211,-12.1494,0.5,98007,215861,129730,148249,0,0,0,0,0,0,0,0,1,5,1,1
3,7,3,3,-5.92284,-2.69549,-7.99629,-6.98511,1,98007,215861,128038,130524,0,0,0,0,0,0,0,0,1,5,1,1
110,58,106,27,-58.2161,-57.1577,-58.1542,-55.3662,1,4.09569e+06,2.48552e+06,6.70053e+06,1.52162e+06,0,0,0,0,1,1,1,1,27,11,15,1
88,35,68,67,-57.7286,-57.3321,-58.1118,-58.308,0.5,4.33705e+06,1.96263e+06,3.67055e+06,3.60351e+06,0,0,0,0,1,1,1,1,23,7,3,8
88,35,87,6,-57.7286,-57.3321,-57.7988,-55.5884,1,4.33705e+06,1.96263e+06,5.34678e+06,373625,0,0,0,0,1,1,1,1,23,7,24,1
49,30,17,949,-266586,-4.76288e+10,-9.88572e+19,-9.48282e+11,0.5,3.07151e+06,2.49727e+06,1.1173e+06,6.22808e+07,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,47,27,15,946
136,116,119,127,-58.8384,-58.6102,-58.91,-59,0.5,4.50779e+06,4.50832e+06,3.93197e+06,4.72583e+06,0,0,0,0,1,1,1,1,11,5,4,21
136,116,134,88,-58.8384,-58.6102,-58.8297,-58.3706,1,4.50779e+06,4.50832e+06,5.43998e+06,3.8721e+06,0,0,0,0,1,1,1,1,11,5,14,1
99,69,6,72,-58.1472,-57.3153,-56.3076,-57.6348,0.5,4.62396e+06,2.68166e+06,204564,2.65065e+06,0,0,0,0,1,1,0,1,15,16,4,1
99,69,37,28,-58.1472,-57.3153,-55.8303,-56.9743,1,4.62396e+06,2.68166e+06,1.54006e+06,805764,0,0,0,0,1,1,1,1,15,16,1,2
38,32,30,19,-56.722,-56.1881,-56.9179,-60.5674,0.5,820464,1.37801e+06,898298,751054,0,0,0,0,1,1,1,1,23,5,12,16
38,32,3,15,-56.722,-56.1881,-56.4793,-55.6501,1,820464,1.37801e+06,52243,269470,0,0,0,0,1,1,0,1,23,5,1,1
8,15,10,38,-3.81146e+18,-1.23975e+25,-3.48653e+14,-4.36407e+13,0.5,212787,546633,492330,1.5185e+06,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,6,12,8,36
19,11,10,9,-6.95278e+18,36.943,-6.95692e+14,-2.05745e+12,0.5,421653,253373,346081,313745,-2147483648,0,-2147483648,-2147483648,0,0,0,0,17,9,8,7
18,30,6,94,-1.91609e+20,-8.08813e+22,-1.43782e+12,-5.80075e+12,1,251150,1.51555e+06,110159,4.01838e+06,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,16,27,4,92
72,69,76,71,-57.928,-57.6433,-57.7961,-57.978,0.5,1.46236e+06,1.57472e+06,1.67497e+06,1.16199e+06,0,0,0,0,1,1,1,1,3,1,1,1
72,69,72,79,-57.928,-57.6433,-57.9676,-57.745,1,1.46236e+06,1.57472e+06,1.68379e+06,1.63314e+06,0,0,0,0,1,1,1,1,3,1,3,3
25,28,16,29,-55.9373,-55.9219,-55.9088,-56.1028,0.5,573758,1.08684e+06,229413,709823,0,0,0,0,1,1,1,1,7,2,3,4
25,28,3,3,-55.9373,-55.9219,-59.5715,-56.1381,1,573758,1.08684e+06,88712,89253,0,0,0,0,1,1,0,0,7,2,1,1
41,4,3,5,-3.21253,-3.62732,-6.91743,-6.68651,0.5,822110,111216,129056,364173,0,0,0,0,0,0,0,0,39,2,1,3
41,4,24,31,-3.21253,-3.62732,-6.45078,-6.3334,1,822110,111216,1.12513e+06,1.45982e+06,0,0,0,0,0,0,0,0,39,2,22,29
73,29,3,26,-58.9308,-56.6962,-58.3167,-57.404,0.5,2.49476e+06,805581,98988,557344,0,0,0,0,1,1,0,1,28,14,1,1
73,29,4,19,-58.9308,-56.6962,-59.3233,-56.7226,1,2.49476e+06,805581,58502,262366,0,0,0,0,1,1,0,1,28,14,2,2
134,66,127,129,-59.4059,-59.1147,-59.4031,-59.4317,0.5,2.47979e+06,2.12542e+06,4.37913e+06,5.23681e+06,0,0,0,0,1,1,1,1,37,5,21,28
134,66,28,49,-59.4059,-59.1147,-58.7576,-58.8947,1,2.47979e+06,2.12542e+06,1.35207e+06,962520,0,0,0,0,1,1,1,1,37,5,1,1
39,54,80,88,-61.5753,-55.4607,-57.2864,-57.4884,0.5,1.76497e+06,2.35274e+06,2.44665e+06,2.4904e+06,0,0,0,0,0,1,1,1,37,33,25,41
39,54,73,3,-61.5753,-55.4607,-58.8665,-17.4449,1,1.76497e+06,2.35274e+06,1.32618e+06,37448,0,0,0,0,0,1,1,0,37,33,15,1
41,26,3,19,-55.278,-60.5695,-59.5997,-55.417,0.5,784277,1.27369e+06,180349,839770,0,0,0,0,1,1,0,1,14,23,1,1
41,26,8,27,-55.278,-60.5695,-55.4033,-55.3621,1,784277,1.27369e+06,156413,495493,0,0,0,0,1,1,1,1,14,23,2,2
97,22,69,67,-57.0207,-55.5854,-57.6814,-58.163,0.5,2.50733e+06,440210,1.56236e+06,1.48894e+06,0,0,0,0,1,1,1,1,40,14,11,20
97,22,12,26,-57.0207,-55.5854,-56.7871,-55.7021,1,2.50733e+06,440210,288176,492274,0,0,0,0,1,1,1,1,40,14,1,1
8,5,47,63,-5.8406e+16,-5.01098e+12,-7.23031e+13,-2.38939e+13,0.5,185805,120758,3.47044e+06,2.98533e+06,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,5,2,44,60
8,5,25,37,-5.8406e+16,-5.01098e+12,-5.23107e+19,-3.42472e+13,1,185805,120758,1.10371e+06,1.86649e+06,-2147483648,-2147483648,-2147483648,-2147483648,0,0,0,0,5,2,22,34
25,36,3,3,-55.5197,-55.8086,-59.254,-58.0075,0.5,1.18901e+06,732903,53805,71668,0,0,0,0,1,1,0,0,1,12,1,1
25,36,28,4,-55.5197,-55.8086,-55.9118,-56.7351,1,1.18901e+06,732903,598145,102400,0,0,0,0,1,1,1,0,1,12,1,2
