IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
1268,2743,1266,1271,364.761,0.0426148,364.876,364.691,0.0100001,6.22635e+06,1.38921e+07,1.09696e+07,1.24182e+07,0,0,0,0,0,1,0,0,1266,618,1264,1269
1268,2743,1266,1310,364.761,0.0426148,364.854,363.699,0.100001,6.22635e+06,1.38921e+07,1.02891e+07,1.1823e+07,0,0,0,0,0,1,0,0,1266,618,1264,1308
1268,2743,1269,1435,364.761,0.0426148,364.399,362.627,0.5,6.22635e+06,1.38921e+07,1.09633e+07,1.12521e+07,0,0,0,0,0,1,0,0,1266,618,1267,1433
1268,2743,1272,3198,364.761,0.0426148,364.151,0.0421605,1,6.22635e+06,1.38921e+07,1.22083e+07,2.6964e+07,0,0,0,0,0,1,0,1,1266,618,1270,1561
1317,3310,1315,1320,572.381,0.0426052,572.482,572.276,0.0100001,7.17971e+06,1.85723e+07,1.22238e+07,1.22794e+07,0,0,0,0,0,1,0,0,1315,685,1313,1318
1317,3310,1315,1355,572.381,0.0426052,572.463,571.14,0.100001,7.17971e+06,1.85723e+07,1.26301e+07,1.37318e+07,0,0,0,0,0,1,0,0,1315,685,1313,1353
1317,3310,1317,1467,572.381,0.0426052,572.381,569.868,0.5,7.17971e+06,1.85723e+07,1.16236e+07,1.25235e+07,0,0,0,0,0,1,0,0,1315,685,1315,1465
1317,3310,1319,3381,572.381,0.0426052,571.899,0.0421535,1,7.17971e+06,1.85723e+07,1.08188e+07,2.16413e+07,0,0,0,0,0,1,0,1,1315,685,1317,1577
1243,2651,1241,1246,331.743,0.0422548,331.767,331.721,0.0100001,6.47292e+06,1.33089e+07,1.06362e+07,9.45638e+06,0,0,0,0,0,1,0,0,1241,597,1239,1244
1243,2651,1242,1284,331.743,0.0422548,331.763,331.466,0.100001,6.47292e+06,1.33089e+07,9.89083e+06,9.02306e+06,0,0,0,0,0,1,0,0,1241,597,1240,1282
1243,2651,1243,1408,331.743,0.0422548,331.743,331.176,0.5,6.47292e+06,1.33089e+07,8.93422e+06,1.10986e+07,0,0,0,0,0,1,0,0,1241,597,1241,1406
1243,2651,1246,3136,331.743,0.0422548,331.719,0.0422736,1,6.47292e+06,1.33089e+07,1.01778e+07,2.01634e+07,0,0,0,0,0,1,0,1,1241,597,1244,1532
