IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
727,977,734,752,1168.13,1168.01,1168.13,1168.11,0.0100001,7.96286e+07,1.19963e+08,8.91285e+07,9.31768e+07,0,0,0,0,1,1,1,1,13,164,10,13
727,977,724,724,1168.13,1168.01,1168.13,1168.13,0.100001,7.96286e+07,1.19963e+08,8.81213e+07,8.67785e+07,0,0,0,0,1,1,1,1,13,164,2,3
727,977,717,731,1168.13,1168.01,1168.09,1168.08,0.5,7.96286e+07,1.19963e+08,8.29307e+07,7.46929e+07,0,0,0,0,1,1,1,1,13,164,48,52
727,977,819,1002,1168.13,1168.01,1168.14,1168.02,1,7.96286e+07,1.19963e+08,9.44941e+07,1.13869e+08,0,0,0,0,1,1,1,1,13,164,233,246
61,724,61,61,9771.54,9771.55,9771.54,9771.54,0.0100001,6.89238e+06,7.48921e+07,9.49259e+06,9.68943e+06,0,0,0,0,0,0,0,0,52,715,52,52
61,724,61,61,9771.54,9771.55,9771.54,9771.54,0.100001,6.89238e+06,7.48921e+07,1.02214e+07,8.70227e+06,0,0,0,0,0,0,0,0,52,715,52,52
61,724,61,61,9771.54,9771.55,9771.54,9771.54,0.5,6.89238e+06,7.48921e+07,9.88626e+06,9.87745e+06,0,0,0,0,0,0,0,0,52,715,52,52
61,724,61,61,9771.54,9771.55,9771.54,9771.54,1,6.89238e+06,7.48921e+07,9.56005e+06,9.10907e+06,0,0,0,0,0,0,0,0,52,715,52,52
56,712,56,56,9771.54,9771.55,9771.54,9771.54,0.0100001,5.65561e+06,6.83158e+07,8.74156e+06,8.65377e+06,0,0,0,0,0,0,0,0,52,708,52,52
56,712,56,56,9771.54,9771.55,9771.54,9771.54,0.100001,5.65561e+06,6.83158e+07,8.89028e+06,8.91424e+06,0,0,0,0,0,0,0,0,52,708,52,52
