IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
599,411,462,462,1.2321,1.17607,1.21071,1.21071,0.0100001,2.61818e+09,1.19514e+09,1.16643e+09,1.12216e+09,0,0,0,0,0,0,0,0,597,409,460,460
599,411,462,462,1.2321,1.17607,1.21071,1.21071,0.100001,2.61818e+09,1.19514e+09,1.04867e+09,9.84131e+08,0,0,0,0,0,0,0,0,597,409,460,460
599,411,462,462,1.2321,1.17607,1.21071,1.21071,0.5,2.61818e+09,1.19514e+09,1.00276e+09,9.25635e+08,0,0,0,0,0,0,0,0,597,409,460,460
599,411,462,462,1.2321,1.17607,1.21071,1.21071,1,2.61818e+09,1.19514e+09,9.2977e+08,9.07864e+08,0,0,0,0,0,0,0,0,597,409,460,460
652,589,602,602,1.17568,1.11671,1.12702,1.12702,0.0100001,7.21527e+08,6.43923e+08,1.16356e+09,1.1634e+09,0,0,0,0,0,0,0,0,650,587,600,600
652,589,602,602,1.17568,1.11671,1.12702,1.12702,0.100001,7.21527e+08,6.43923e+08,1.16391e+09,1.16192e+09,0,0,0,0,0,0,0,0,650,587,600,600
652,589,602,602,1.17568,1.11671,1.12702,1.12702,0.5,7.21527e+08,6.43923e+08,1.15868e+09,1.15922e+09,0,0,0,0,0,0,0,0,650,587,600,600
652,589,602,604,1.17568,1.11671,1.12702,1.12817,1,7.21527e+08,6.43923e+08,1.15923e+09,1.16333e+09,0,0,0,0,0,0,0,0,650,587,600,602
774,565,610,611,1.23157,1.14307,1.18922,1.19021,0.0100001,8.41949e+08,6.10529e+08,1.16438e+09,1.16694e+09,0,0,0,0,0,0,0,0,772,563,608,609
774,565,610,623,1.23157,1.14307,1.18922,1.19833,0.100001,8.41949e+08,6.10529e+08,1.16463e+09,1.18863e+09,0,0,0,0,0,0,0,0,772,563,608,621
774,565,625,24,1.23157,1.14307,1.23428,1.20078,0.5,8.41949e+08,6.10529e+08,1.19406e+09,4.30747e+07,0,0,0,0,0,0,0,0,772,563,623,22
