IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
941,371,842,841,0.125335,0.0232936,0.064276,0.127744,0.0100001,2.09829e+07,8.2893e+06,3.28257e+07,3.7636e+07,0,0,0,0,1,1,1,1,760,9,643,704
941,371,1113,1137,0.125335,0.0232936,0.00686076,0.00607807,0.100001,2.09829e+07,8.2893e+06,6.11438e+07,5.97607e+07,0,0,0,0,1,1,0,1,760,9,1089,1105
941,371,240,189,0.125335,0.0232936,0.128665,0.00274084,0.5,2.09829e+07,8.2893e+06,9.62e+06,1.14509e+07,0,0,0,0,1,1,1,1,760,9,59,157
941,371,111,154,0.125335,0.0232936,0.00498926,0.00674789,1,2.09829e+07,8.2893e+06,6.34258e+06,8.36806e+06,0,0,0,0,1,1,0,0,760,9,93,132
1214,837,1045,1034,0.0236636,0.000744162,0.014371,0.0218658,0.0100001,3.96923e+07,2.26137e+07,4.15586e+07,3.76347e+07,0,0,0,0,1,1,1,1,708,12,522,527
1214,837,1205,1163,0.0236636,0.000744162,0.126126,0.12735,0.100001,3.96923e+07,2.26137e+07,4.91848e+07,4.38591e+07,0,0,0,0,1,1,1,1,708,12,700,658
1214,837,706,709,0.0236636,0.000744162,0.0823815,0.0825249,0.5,3.96923e+07,2.26137e+07,1.74835e+07,1.8954e+07,0,0,0,0,1,1,1,1,708,12,8,8
1214,837,1148,1538,0.0236636,0.000744162,0.00905488,0.0237277,1,3.96923e+07,2.26137e+07,4.28177e+07,5.71818e+07,0,0,0,0,1,1,1,1,708,12,604,1030
863,494,879,877,0.00033134,0.000198081,0.000646767,0.0228348,0.0100001,1.84998e+07,1.13209e+07,2.94078e+07,3.48344e+07,0,0,0,0,1,1,1,1,425,1,475,701
863,494,799,729,0.00033134,0.000198081,0.123346,0.104166,0.100001,1.84998e+07,1.13209e+07,2.54618e+07,2.45649e+07,0,0,0,0,1,1,1,1,425,1,625,560
863,494,298,391,0.00033134,0.000198081,0.00658542,0.00674015,0.5,1.84998e+07,1.13209e+07,1.31932e+07,1.36569e+07,0,0,0,0,1,1,0,0,425,1,294,342
863,494,127,169,0.00033134,0.000198081,0.00448819,0.00653647,1,1.84998e+07,1.13209e+07,5.17295e+06,5.76981e+06,0,0,0,0,1,1,0,0,425,1,115,152
1096,782,1043,1040,3.38718e-05,6.84677e-05,3.37079e-05,3.41016e-05,0.0100001,2.39509e+07,1.55377e+07,2.87022e+07,2.62774e+07,0,0,0,0,1,1,1,1,363,18,297,289
1096,782,1016,1047,3.38718e-05,6.84677e-05,3.49894e-05,3.11136e-05,0.100001,2.39509e+07,1.55377e+07,2.66435e+07,2.72584e+07,0,0,0,0,1,1,1,1,363,18,326,376
1096,782,923,947,3.38718e-05,6.84677e-05,3.57803e-05,3.39425e-05,0.5,2.39509e+07,1.55377e+07,2.32872e+07,2.41126e+07,0,0,0,0,1,1,1,1,363,18,195,195
1096,782,947,947,3.38718e-05,6.84677e-05,3.39425e-05,3.39425e-05,1,2.39509e+07,1.55377e+07,2.1774e+07,2.012e+07,0,0,0,0,1,1,1,1,363,18,195,195
822,409,884,978,0.0573727,0.00699367,0.00702148,0.00690466,0.0100001,1.65717e+07,7.5039e+06,3.30723e+07,3.26868e+07,0,0,0,0,1,0,0,0,502,375,880,953
822,409,1006,1092,0.0573727,0.00699367,0.00715109,0.00715919,0.100001,1.65717e+07,7.5039e+06,3.572e+07,3.50978e+07,0,0,0,0,1,0,0,0,502,375,1001,1066
822,409,616,651,0.0573727,0.00699367,0.00667414,0.00671716,0.5,1.65717e+07,7.5039e+06,2.10977e+07,2.32319e+07,0,0,0,0,1,0,0,0,502,375,604,635
822,409,111,73,0.0573727,0.00699367,0.00476521,0.00564605,1,1.65717e+07,7.5039e+06,2.78693e+06,1.42678e+06,0,0,0,0,1,0,0,0,502,375,103,69
1007,379,831,905,0.00717896,0.0332533,0.00689432,0.0068236,0.0100001,1.92206e+07,5.74731e+06,2.08111e+07,1.73498e+07,0,0,0,0,0,1,0,0,1003,23,819,893
