IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
1192,547,1139,1127,0.37203,0.389074,0.386333,0.388046,0.0100001,6.16818e+06,2.09781e+06,8.60422e+06,9.03388e+06,0,0,0,0,1,1,1,1,1109,25,970,1010
1192,547,629,528,0.37203,0.389074,0.317864,0.38679,0.100001,6.16818e+06,2.09781e+06,4.80337e+06,2.48755e+06,0,0,0,0,1,1,1,1,1109,25,424,1
1192,547,1846,2681,0.37203,0.389074,0.323302,0.323128,0.5,6.16818e+06,2.09781e+06,1.42132e+07,2.13872e+07,0,0,0,0,1,1,1,1,1109,25,1646,2480
1192,547,2604,3278,0.37203,0.389074,0.367258,0.368973,1,6.16818e+06,2.09781e+06,2.02201e+07,2.31027e+07,0,0,0,0,1,1,1,1,1109,25,2459,3196
955,497,974,1002,0.0462839,0.0372599,0.0320288,0.0296167,0.0100001,5.11459e+06,2.54745e+06,7.53988e+06,6.53863e+06,0,0,0,0,1,1,1,1,793,9,738,748
955,497,959,866,0.0462839,0.0372599,0.0351331,0.492183,0.100001,5.11459e+06,2.54745e+06,6.6681e+06,7.56078e+06,0,0,0,0,1,1,1,1,793,9,756,862
955,497,738,1161,0.0462839,0.0372599,0.435521,0.439962,0.5,5.11459e+06,2.54745e+06,6.23167e+06,9.82516e+06,0,0,0,0,1,1,1,1,793,9,734,1157
955,497,1010,20,0.0462839,0.0372599,0.422692,0.435917,1,5.11459e+06,2.54745e+06,7.91201e+06,160423,0,0,0,0,1,1,1,1,793,9,1006,17
1092,813,1074,802,0.0278331,0.0375988,0.034258,0.962058,0.0100001,5.54936e+06,3.59762e+06,7.16898e+06,6.18675e+06,0,0,0,0,1,1,1,1,805,1,788,799
1092,813,721,600,0.0278331,0.0375988,0.0628079,0.0300861,0.100001,5.54936e+06,3.59762e+06,4.76613e+06,2.52434e+06,0,0,0,0,1,1,1,1,805,1,580,1
1092,813,759,1111,0.0278331,0.0375988,0.574769,0.58953,0.5,5.54936e+06,3.59762e+06,5.1577e+06,7.9549e+06,0,0,0,0,1,1,1,1,805,1,754,1107
1092,813,1080,21,0.0278331,0.0375988,0.510544,0.574076,1,5.54936e+06,3.59762e+06,7.80656e+06,151307,0,0,0,0,1,1,1,1,805,1,1076,18
