IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
2087,2071,2079,2079,0.00611793,0.00609814,0.00614249,0.00614287,0.0100001,1.65731e+07,1.66591e+07,1.61149e+07,1.74658e+07,0,0,0,0,1,1,1,1,188,3,128,137
2087,2071,2081,2093,0.00611793,0.00609814,0.00605007,0.00611442,0.100001,1.65731e+07,1.66591e+07,1.70883e+07,1.68545e+07,0,0,0,0,1,1,1,1,188,3,139,222
2087,2071,2087,2094,0.00611793,0.00609814,0.00606166,0.00733674,0.5,1.65731e+07,1.66591e+07,1.61851e+07,1.55501e+07,0,0,0,0,1,1,1,1,188,3,181,436
2087,2071,2096,2242,0.00611793,0.00609814,0.00607276,0.00778147,1,1.65731e+07,1.66591e+07,1.91792e+07,1.93411e+07,0,0,0,0,1,1,1,1,188,3,227,601
1879,1881,1879,1879,0.00606863,0.00601798,0.00604865,0.00604981,0.0100001,1.36566e+07,1.63734e+07,1.41258e+07,1.42387e+07,0,0,0,0,1,1,1,1,88,2,49,52
1879,1881,1879,1879,0.00606863,0.00601798,0.00603801,0.00606032,0.100001,1.36566e+07,1.63734e+07,1.30374e+07,1.31441e+07,0,0,0,0,1,1,1,1,88,2,50,81
1879,1881,1879,1882,0.00606863,0.00601798,0.00603915,0.00606878,0.5,1.36566e+07,1.63734e+07,1.34211e+07,1.45342e+07,0,0,0,0,1,1,1,1,88,2,53,223
1879,1881,1879,1893,0.00606863,0.00601798,0.00604103,0.00597238,1,1.36566e+07,1.63734e+07,1.33569e+07,1.48646e+07,0,0,0,0,1,1,1,1,88,2,56,460
2144,2145,2144,2144,0.00461718,0.0046147,0.00461718,0.00461751,0.0100001,1.40802e+07,1.44427e+07,1.25506e+07,1.17113e+07,0,0,0,0,1,1,1,1,26,1,26,27
2144,2145,2144,2144,0.00461718,0.0046147,0.00461721,0.00461982,0.100001,1.40802e+07,1.44427e+07,1.33914e+07,1.21358e+07,0,0,0,0,1,1,1,1,26,1,26,41
2144,2145,2144,2145,0.00461718,0.0046147,0.00462327,0.00454704,0.5,1.40802e+07,1.44427e+07,1.21704e+07,1.64096e+07,0,0,0,0,1,1,1,1,26,1,26,108
2144,2145,2144,2146,0.00461718,0.0046147,0.0046177,0.00460543,1,1.40802e+07,1.44427e+07,1.32494e+07,1.44235e+07,0,0,0,0,1,1,1,1,26,1,27,202
