IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
43,944,43,43,0.332577,0.338401,0.332577,0.332577,0.0100001,1.01705e+07,2.73987e+08,2.03946e+07,1.99602e+07,0,0,0,0,0,0,0,0,41,942,41,41
43,944,43,43,0.332577,0.338401,0.332577,0.332577,0.100001,1.01705e+07,2.73987e+08,2.04527e+07,2.06238e+07,0,0,0,0,0,0,0,0,41,942,41,41
43,944,43,43,0.332577,0.338401,0.332577,0.332577,0.5,1.01705e+07,2.73987e+08,2.32134e+07,1.81528e+07,0,0,0,0,0,0,0,0,41,942,41,41
43,944,43,43,0.332577,0.338401,0.332577,0.332577,1,1.01705e+07,2.73987e+08,1.98625e+07,1.91049e+07,0,0,0,0,0,0,0,0,41,942,41,41
44,965,44,44,0.331837,0.33851,0.331837,0.331837,0.0100001,1.07728e+07,2.43003e+08,1.7301e+07,1.66793e+07,0,0,0,0,0,0,0,0,42,963,42,42
44,965,44,44,0.331837,0.33851,0.331837,0.331837,0.100001,1.07728e+07,2.43003e+08,1.43963e+07,1.62018e+07,0,0,0,0,0,0,0,0,42,963,42,42
44,965,44,44,0.331837,0.33851,0.331837,0.331837,0.5,1.07728e+07,2.43003e+08,1.53431e+07,1.73712e+07,0,0,0,0,0,0,0,0,42,963,42,42
44,965,44,44,0.331837,0.33851,0.331837,0.331837,1,1.07728e+07,2.43003e+08,1.56063e+07,1.51346e+07,0,0,0,0,0,0,0,0,42,963,42,42
37,801,37,37,0.331567,0.338504,0.331567,0.331567,0.0100001,7.90551e+06,1.66493e+08,1.25769e+07,1.26843e+07,0,0,0,0,0,0,0,0,35,799,35,35
37,801,37,37,0.331567,0.338504,0.331567,0.331567,0.100001,7.90551e+06,1.66493e+08,1.3309e+07,1.16861e+07,0,0,0,0,0,0,0,0,35,799,35,35
37,801,37,37,0.331567,0.338504,0.331567,0.331567,0.5,7.90551e+06,1.66493e+08,1.22693e+07,1.14332e+07,0,0,0,0,0,0,0,0,35,799,35,35
37,801,37,37,0.331567,0.338504,0.331567,0.331567,1,7.90551e+06,1.66493e+08,1.28229e+07,1.33852e+07,0,0,0,0,0,0,0,0,35,799,35,35
46,1013,46,46,0.332114,0.338241,0.332114,0.332114,0.0100001,7.31048e+06,1.92459e+08,1.34484e+07,1.29172e+07,0,0,0,0,0,0,0,0,44,1011,44,44
46,1013,46,46,0.332114,0.338241,0.332114,0.332114,0.100001,7.31048e+06,1.92459e+08,1.32407e+07,1.48962e+07,0,0,0,0,0,0,0,0,44,1011,44,44
46,1013,46,46,0.332114,0.338241,0.332114,0.332114,0.5,7.31048e+06,1.92459e+08,1.39324e+07,1.19648e+07,0,0,0,0,0,0,0,0,44,1011,44,44
46,1013,46,46,0.332114,0.338241,0.332114,0.332114,1,7.31048e+06,1.92459e+08,1.28717e+07,1.14662e+07,0,0,0,0,0,0,0,0,44,1011,44,44
34,737,34,34,0.333823,0.338627,0.333823,0.333823,0.0100001,5.5051e+06,1.05424e+08,4.45202e+06,5.18186e+06,0,0,0,0,0,0,0,0,32,735,32,32
34,737,34,34,0.333823,0.338627,0.333823,0.333823,0.100001,5.5051e+06,1.05424e+08,6.65567e+06,8.09967e+06,0,0,0,0,0,0,0,0,32,735,32,32
34,737,34,34,0.333823,0.338627,0.333823,0.333823,0.5,5.5051e+06,1.05424e+08,5.36246e+06,5.64295e+06,0,0,0,0,0,0,0,0,32,735,32,32
34,737,34,34,0.333823,0.338627,0.333823,0.333823,1,5.5051e+06,1.05424e+08,6.18598e+06,5.5531e+06,0,0,0,0,0,0,0,0,32,735,32,32
46,1019,46,46,0.334466,0.338372,0.334466,0.334466,0.0100001,4.74434e+06,1.20966e+08,7.7024e+06,8.33828e+06,0,0,0,0,0,0,0,0,44,1017,44,44
46,1019,46,46,0.334466,0.338372,0.334466,0.334466,0.100001,4.74434e+06,1.20966e+08,1.22476e+07,8.45654e+06,0,0,0,0,0,0,0,0,44,1017,44,44
46,1019,46,46,0.334466,0.338372,0.334466,0.334466,0.5,4.74434e+06,1.20966e+08,9.29743e+06,6.99086e+06,0,0,0,0,0,0,0,0,44,1017,44,44
46,1019,46,46,0.334466,0.338372,0.334466,0.334466,1,4.74434e+06,1.20966e+08,1.1351e+07,1.16836e+07,0,0,0,0,0,0,0,0,44,1017,44,44
46,1026,46,46,0.337488,0.338419,0.337488,0.337488,0.0100001,5.67745e+06,1.19466e+08,7.45993e+06,5.87511e+06,0,0,0,0,0,0,0,0,44,1024,44,44
46,1026,46,46,0.337488,0.338419,0.337488,0.337488,0.100001,5.67745e+06,1.19466e+08,7.23099e+06,7.08017e+06,0,0,0,0,0,0,0,0,44,1024,44,44
46,1026,46,46,0.337488,0.338419,0.337488,0.337488,0.5,5.67745e+06,1.19466e+08,7.69176e+06,8.73133e+06,0,0,0,0,0,0,0,0,44,1024,44,44
