IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
91,187,123,123,0.20236,0.2381,0.197409,0.197409,0.0100001,125530,258458,164849,161753,0,0,0,0,1,1,1,1,16,6,2,2
91,187,84,84,0.20236,0.2381,0.177747,0.177747,0.100001,125530,258458,111854,108970,0,0,0,0,1,1,1,1,16,6,8,8
91,187,77,78,0.20236,0.2381,0.128566,0.127848,0.5,125530,258458,120617,158787,0,0,0,0,1,1,1,1,16,6,22,22
91,187,93,99,0.20236,0.2381,0.127718,0.124475,1,125530,258458,178506,170236,0,0,0,0,1,1,1,1,16,6,35,42
179,207,208,208,0.235182,0.242602,0.247137,0.247137,0.0100001,236803,301192,295502,314147,0,0,0,0,1,1,1,1,1,4,8,8
179,207,182,182,0.235182,0.242602,0.243027,0.243027,0.100001,236803,301192,348147,335511,0,0,0,0,1,1,1,1,1,4,3,3
179,207,170,170,0.235182,0.242602,0.232212,0.233254,0.5,236803,301192,254881,274166,0,0,0,0,1,1,1,1,1,4,4,4
179,207,176,174,0.235182,0.242602,0.234776,0.233111,1,236803,301192,274959,258031,0,0,0,0,1,1,1,1,1,4,6,8
100,199,157,157,0.21142,0.235212,0.230538,0.230538,0.0100001,276857,549002,303041,369584,0,0,0,0,1,1,1,1,4,15,6,6
100,199,63,63,0.21142,0.235212,0.245454,0.245454,0.100001,276857,549002,247435,141996,0,0,0,0,1,1,1,1,4,15,5,5
100,199,97,98,0.21142,0.235212,0.172409,0.169972,0.5,276857,549002,267698,262848,0,0,0,0,1,1,1,1,4,15,15,15
100,199,105,110,0.21142,0.235212,0.174123,0.165935,1,276857,549002,318718,348393,0,0,0,0,1,1,1,1,4,15,24,29
104,160,163,163,0.204297,0.224402,0.221693,0.221693,0.0100001,513106,406409,750840,739326,0,0,0,0,1,1,1,1,2,17,22,22
104,160,97,97,0.204297,0.224402,0.195976,0.195976,0.100001,513106,406409,339733,376771,0,0,0,0,1,1,1,1,2,17,3,3
104,160,104,104,0.204297,0.224402,0.187217,0.187409,0.5,513106,406409,493527,358446,0,0,0,0,1,1,1,1,2,17,10,10
104,160,105,112,0.204297,0.224402,0.197868,0.185079,1,513106,406409,249627,312736,0,0,0,0,1,1,1,1,2,17,17,20
174,174,174,174,0.23629,0.233158,0.235713,0.235713,0.0100001,463915,506812,461380,420385,0,0,0,0,1,1,1,1,3,1,3,3
174,174,149,149,0.23629,0.233158,0.234297,0.234297,0.100001,463915,506812,427652,532028,0,0,0,0,1,1,1,1,3,1,1,1
174,174,163,163,0.23629,0.233158,0.22988,0.230835,0.5,463915,506812,379377,527290,0,0,0,0,1,1,1,1,3,1,2,2
174,174,166,167,0.23629,0.233158,0.229183,0.23228,1,463915,506812,262802,356656,0,0,0,0,1,1,1,1,3,1,3,3
204,201,201,201,0.237366,0.238667,0.239907,0.239907,0.0100001,582049,649065,709021,886815,0,0,0,0,1,1,1,1,10,4,6,6
204,201,177,177,0.237366,0.238667,0.235014,0.235014,0.100001,582049,649065,675494,525012,0,0,0,0,1,1,1,1,10,4,1,1
204,201,182,182,0.237366,0.238667,0.235777,0.236437,0.5,582049,649065,691731,618316,0,0,0,0,1,1,1,1,10,4,3,3
204,201,185,185,0.237366,0.238667,0.234225,0.237599,1,582049,649065,298070,719328,0,0,0,0,1,1,1,1,10,4,5,6
147,173,176,176,0.226898,0.236245,0.234044,0.234044,0.0100001,367015,478697,363373,592487,0,0,0,0,1,1,1,1,2,5,10,10
147,173,109,109,0.226898,0.236245,0.243737,0.243737,0.100001,367015,478697,315261,323019,0,0,0,0,1,1,1,1,2,5,2,2
147,173,130,130,0.226898,0.236245,0.212982,0.215122,0.5,367015,478697,399674,387694,0,0,0,0,1,1,1,1,2,5,5,5
147,173,134,138,0.226898,0.236245,0.214536,0.218492,1,367015,478697,402878,547009,0,0,0,0,1,1,1,1,2,5,8,9
104,104,104,104,0.19475,0.196024,0.194649,0.194649,0.0100001,425703,358959,344535,255046,0,0,0,0,1,1,1,1,1,2,1,1
104,104,100,100,0.19475,0.196024,0.21397,0.21397,0.100001,425703,358959,299711,303237,0,0,0,0,1,1,1,1,1,2,6,6
104,104,95,96,0.19475,0.196024,0.188501,0.186564,0.5,425703,358959,252456,297560,0,0,0,0,1,1,1,1,1,2,1,1
104,104,100,101,0.19475,0.196024,0.188608,0.189849,1,425703,358959,321792,284113,0,0,0,0,1,1,1,1,1,2,1,1
219,219,219,219,0.24824,0.245024,0.247781,0.247781,0.0100001,669469,599669,743342,858522,0,0,0,0,1,1,1,1,4,1,3,3
219,219,195,195,0.24824,0.245024,0.241415,0.241415,0.100001,669469,599669,592453,580725,0,0,0,0,1,1,1,1,4,1,1,1
219,219,208,208,0.24824,0.245024,0.240778,0.241714,0.5,669469,599669,882792,794209,0,0,0,0,1,1,1,1,4,1,2,2
219,219,211,212,0.24824,0.245024,0.240169,0.243673,1,669469,599669,553402,640536,0,0,0,0,1,1,1,1,4,1,3,3
51,81,76,76,0.119562,0.146487,0.159697,0.159697,0.0100001,179694,349347,345455,223966,0,0,0,0,1,1,1,1,2,14,22,22
51,81,50,50,0.119562,0.146487,0.112188,0.112188,0.100001,179694,349347,232518,354673,0,0,0,0,1,1,1,1,2,14,3,3
51,81,52,54,0.119562,0.146487,0.114177,0.113338,0.5,179694,349347,244760,322547,0,0,0,0,1,1,1,1,2,14,10,10
