IterationGG,IterationDS,IterationON2,IterationON3,FuncValueGG,FuncValueON2,FuncValueDS,FuncValueON3,Alp,TimeGG,TimeDS,TimeON2,TimeON3,NormGradGG,NormGradDS,NormGradON2,NormGradON3PosDefHessianGG,PosDefHessianDS,PosDefHessianON2,PosDefHessianON3,HesModifyCntGG,HesModifyCntDS,HesModifyCntON2,HesModifyCntON3
830,835,865,858,8.07192,8.07067,8.06701,8.06835,0.0100001,3.39521e+08,3.31956e+08,3.54925e+08,3.51979e+08,0,0,0,0,1,1,1,1,2,3,12,16
830,835,5197,5061,8.07192,8.07067,8.06055,8.0648,0.100001,3.39521e+08,3.31956e+08,2.32658e+09,1.61754e+09,0,0,0,0,1,1,1,1,2,3,4389,4288
830,835,5986,6092,8.07192,8.07067,8.06428,8.06429,0.5,3.39521e+08,3.31956e+08,1.7601e+09,1.72898e+09,0,0,0,0,1,1,1,1,2,3,5210,5315
830,835,8733,8733,8.07192,8.07067,8.06963,8.06963,1,3.39521e+08,3.31956e+08,2.40741e+09,2.34142e+09,0,0,0,0,1,1,1,1,2,3,7983,7983
831,887,844,846,8.07187,8.06591,8.07176,8.07203,0.0100001,1.13272e+08,1.20772e+08,1.16919e+08,1.17527e+08,0,0,0,0,1,1,1,1,2,7,14,17
831,887,3387,3358,8.07187,8.06591,8.06681,8.0644,0.100001,1.13272e+08,1.20772e+08,8.37889e+08,8.2767e+08,0,0,0,0,1,1,1,1,2,7,2606,2564
831,887,4277,4481,8.07187,8.06591,8.0696,8.05992,0.5,1.13272e+08,1.20772e+08,1.08515e+09,1.13195e+09,0,0,0,0,1,1,1,1,2,7,3507,3644
831,887,6654,6654,8.07187,8.06591,8.07039,8.07039,1,1.13272e+08,1.20772e+08,1.74959e+09,1.7487e+09,0,0,0,0,1,1,1,1,2,7,5887,5887
898,830,828,831,8.06385,8.0719,8.07214,8.07202,0.100001,1.23476e+08,1.12561e+08,1.12401e+08,1.12492e+08,0,0,0,0,1,1,1,1,103,1,2,2
898,830,867,867,8.06385,8.0719,8.07201,8.07201,0.5,1.23476e+08,1.12561e+08,1.22424e+08,1.22131e+08,0,0,0,0,1,1,1,1,103,1,38,38
898,830,867,867,8.06385,8.0719,8.07201,8.07201,1,1.23476e+08,1.12561e+08,1.22165e+08,1.22219e+08,0,0,0,0,1,1,1,1,103,1,38,38
828,814,821,829,8.07187,8.07191,8.07209,8.07199,0.0100001,1.18301e+08,1.12896e+08,1.10762e+08,1.12166e+08,0,0,0,0,1,1,1,1,1,23,2,3
828,814,897,902,8.07187,8.07191,8.07185,8.07174,0.100001,1.18301e+08,1.12896e+08,1.3082e+08,1.32169e+08,0,0,0,0,1,1,1,1,1,23,69,74
828,814,909,909,8.07187,8.07191,8.07161,8.07161,0.5,1.18301e+08,1.12896e+08,1.33911e+08,1.34318e+08,0,0,0,0,1,1,1,1,1,23,80,80
828,814,909,909,8.07187,8.07191,8.07161,8.07161,1,1.18301e+08,1.12896e+08,1.33783e+08,1.33783e+08,0,0,0,0,1,1,1,1,1,23,80,80
841,845,7630,6901,8.07095,8.07012,8.06081,8.06517,0.0100001,1.13864e+08,1.13001e+08,1.9413e+09,1.73225e+09,0,0,0,0,1,1,1,1,98,11,6859,6151
